Word,"CONTROL_SOBOLEVSKY","KIREEVSKY","PESENNIKI","RUSCORPORA","RUSSKIE_PESNI","SOBOLEVSKY"
"середи",0.0166903113,0.0008037616,0.0048863914,0.0001605669,0,0.0206332103
"спутник",0,0,0,0.0062621094,0,0
"струиться",0,0,0,0.0059944979,0.0018078279,0.000764193
"удерживать",0,0.0016075232,0.0048863914,0.0055663195,0.0018078279,0.0017194342
"хата",0,0.0072338544,0,0.0035859943,0.0180782789,0.0059224955
"шататься",0,0.0176827553,0.0048863914,0.0019803252,0.0036156558,0.0105076534
"возникать",0,0,0,0.0061015425,0.0036156558,0
"враждебный",0,0,0,0.0062085871,0,0
"житейский",0,0,0,0.0061550648,0.0018078279,0
"завидовать",0.0083451556,0.0008037616,0,0.0055127972,0.0072313116,0.0011462895
"заиграть",0.0041725778,0.008037616,0.0048863914,0.002836682,0.0072313116,0.0089792674
"заливаться",0.0166903113,0.0152714705,0.0195455656,0.0020338475,0.0162704511,0.0080240262
"изливать",0,0,0,0.0062085871,0,0
"недолго",0.0041725778,0.0008037616,0.0048863914,0.0047634849,0.0018078279,0.0043941096
"образец",0.0041725778,0,0,0.0053522303,0,0.0028657237
"поесть",0,0.0072338544,0.0097727828,0.0036395166,0,0.007068785
"попадаться",0,0.004018808,0.0048863914,0.0055663195,0.0018078279,0.0009552412
"рощица",0,0.0217015633,0,0.0018197583,0.0108469674,0.0093613639
"сарафан",0.0125177335,0.0136639473,0,0.0006957899,0.0108469674,0.0147107147
"снежный",0,0,0.0048863914,0.0060480202,0,0.0003820965
"страстно",0,0,0.0097727828,0.0060480202,0.0018078279,0
"эхо",0,0,0,0.0061550648,0,0.0001910482
"внук",0.0041725778,0,0,0.0060480202,0,0.0001910482
"глупость",0,0.0024112848,0,0.0057268864,0,0.0009552412
"живить",0,0,0,0.0058874533,0.0072313116,0.0001910482
"кидать",0.0041725778,0.0056263312,0.0048863914,0.0042282619,0.0054234837,0.0045851578
"кусточек",0.0166903113,0.0225053249,0.0195455656,0.0009634014,0.0036156558,0.0112718464
"локон",0,0,0,0.0057804087,0.0072313116,0.0005731447
"медный",0.0041725778,0.0024112848,0.0048863914,0.0051381411,0.0018078279,0.0024836272
"огонек",0,0.0016075232,0,0.0051381411,0,0.0032478201
"пахать",0.0166903113,0.0136639473,0.0097727828,0.0009634014,0.0054234837,0.0135644253
"плеть",0.0375532004,0.0120564241,0,0.0009098791,0,0.01413757
"подушка",0,0.0064300928,0,0.0044423511,0,0.0045851578
"привлекать",0,0,0,0.0061550648,0,0
"раздумье",0,0,0,0.0060480202,0.0018078279,0.0001910482
"седлать",0.0125177335,0.0104489009,0,0.0017127137,0.0090391395,0.0118449911
"селение",0,0.004018808,0,0.0053522303,0.0036156558,0.0015283859
"смирение",0,0,0,0.0061550648,0,0
"смирять",0,0.0008037616,0,0.0061015425,0,0
"собор",0.0125177335,0.0064300928,0.0048863914,0.0049775742,0,0.0019104824
"сорок",0.0041725778,0.0096451393,0.0048863914,0.0033183828,0.0018078279,0.0072598333
"стул",0,0.0032150464,0,0.0034254274,0,0.0089792674
"твердь",0,0,0,0.0059944979,0.0054234837,0
"топор",0,0.0008037616,0,0.0048705295,0.0018078279,0.0042030614
"торжествовать",0,0,0,0.0061550648,0,0
"урна",0,0,0,0.0061550648,0,0
"чернь",0,0,0,0.0060480202,0.0018078279,0.0001910482
"бертальд",0,0,0,0.0061015425,0,0
"возговаривать",0.0250354669,0.0104489009,0.0195455656,0.0004281784,0,0.0158570042
"гибкий",0,0,0,0.0054057526,0.0054234837,0.0019104824
"державный",0,0,0,0.0061015425,0,0
"журнал",0,0,0,0.0061015425,0,0
"завет",0,0,0,0.0057804087,0.0018078279,0.0009552412
"клясть",0,0.0016075232,0,0.0055127972,0.0054234837,0.0011462895
"кожа",0.0041725778,0.0024112848,0,0.0051916634,0,0.0024836272
"неволюшка",0.0041725778,0.0313467026,0.0097727828,0.0002140892,0.0162704511,0.0112718464
"облекать",0,0,0,0.0061015425,0,0
"плести",0.0125177335,0.008037616,0.0146591742,0.0026761151,0.0054234837,0.008597171
"полковничек",0,0.0265241329,0,0,0,0.0154749077
"потуплять",0,0.0016075232,0.0097727828,0.0053522303,0.0054234837,0.0013373377
"приставать",0.0041725778,0.0032150464,0.0048863914,0.0049240519,0.0036156558,0.0026746754
"ручеек",0,0.004018808,0,0.0050846188,0.0072313116,0.0019104824
"сперва",0,0,0,0.0061015425,0,0
"стенание",0,0,0.0048863914,0.0059409756,0.0018078279,0.0001910482
"христос",0.0083451556,0.0024112848,0.0097727828,0.0053522303,0,0.0013373377
"выпадать",0.0041725778,0.0144677089,0,0.0018732806,0.0018078279,0.0110807981
"гибельный",0,0,0,0.0059409756,0.0036156558,0
"здание",0,0,0,0.0060480202,0,0
"кинуться",0.0041725778,0.0032150464,0,0.0048170072,0.0144626232,0.0019104824
"мешок",0,0,0.0048863914,0.0049240519,0.0036156558,0.0034388684
"нравиться",0.0041725778,0,0,0.0055663195,0.0054234837,0.0009552412
"отныне",0,0,0,0.0060480202,0,0
"полотно",0.0125177335,0.0088413776,0.0097727828,0.0023549813,0,0.0101255569
"похожий",0,0,0,0.0049775742,0.0054234837,0.0032478201
"преступный",0,0,0,0.0060480202,0,0
"рост",0.0041725778,0.0064300928,0.0048863914,0.0032648605,0,0.0080240262
"сберегать",0.0083451556,0.0016075232,0,0.0044958734,0.0018078279,0.0045851578
"сбирать",0.0041725778,0.004018808,0.0048863914,0.0039606504,0.0072313116,0.0053493508
"случайно",0,0,0,0.0059944979,0,0.0001910482
"топить",0.0166903113,0.0072338544,0.0048863914,0.0015521468,0.0018078279,0.0131823288
"хребет",0,0,0,0.0057804087,0,0.0009552412
"язва",0,0,0,0.0059409756,0.0018078279,0.0001910482
"детина",0.0125177335,0.0104489009,0.0537503054,0.0009098791,0.0090391395,0.0120360393
"жизненный",0,0,0,0.0059944979,0,0
"камушек",0.0083451556,0.0273278945,0.0097727828,0.0002140892,0,0.013373377
"л",0,0,0,0.0057804087,0,0.000764193
"недра",0,0,0,0.0059944979,0,0
