"KIREEVSKY_1" "KIREEVSKY_2" "KIREEVSKY_3" "PESENNIKI" "RP_1810" "RP_1820" "RP_1830" "RP_1840" "ruscorpora_1" "ruscorpora_2" "ruscorpora_3" "SOBOLEVSKY_1" "SOBOLEVSKY_2" "SOBOLEVSKY_3"
"любезный" 0.19 0.14 0.17 0.131932567798681 0.193195234517549 0.108950720750922 0.0488932349542181 0.016926201760325 0.02 0.015 0.005 0.08 0.06 0.05
"приходить" 0.09 0.105 0.08 0.0830686537991693 0.0643984115058495 0.11733154542407 0.0444483954129256 0.0592417061611374 0.055 0.025 0.045 0.165 0.105 0.145
"улица" 0.125 0.15 0.15 0.131932567798681 0.0214661371686165 0.0251424740194435 0.0177793581651702 0.0253893026404875 0.015 0.015 0.02 0.11 0.165 0.14
"слово" 0.055 0.035 0.05 0.0977278279990227 0.0751314800901578 0.1927589674824 0.0977864699084363 0.0930941096817874 0.105 0.11 0.125 0.06 0.065 0.06
"родимый" 0.125 0.07 0.12 0.0244319569997557 0.107330685843083 0.108950720750922 0.137790025780069 0.1354096140826 0.01 0.015 0.015 0.1 0.1 0.12
"ой" 0.19 0.15 0.12 0.0928414365990716 0.0107330685843083 0.00838082467314784 0.0177793581651702 0.00846310088016249 0 0 0.005 0.085 0.205 0.16
"дорогой" 0.085 0.11 0.13 0.141705350598583 0.0536653429215413 0.0754274220583305 0.0666725931193884 0.10155721056195 0.035 0.035 0.015 0.085 0.095 0.1
"лицо" 0.11 0.065 0.095 0.107500610798925 0.0751314800901578 0.125712370097218 0.0800071117432661 0.110020311442112 0.055 0.07 0.085 0.055 0.05 0.08
"скоро" 0.025 0.015 0.04 0.073295870999267 0.279059783192015 0.217901441501844 0.124455507156192 0.211577522004062 0.06 0.085 0.075 0.015 0.04 0.06
"цветок" 0.035 0.065 0.08 0.0977278279990227 0.150262960180316 0.0586657727120349 0.186683260734287 0.0761679079214624 0.085 0.06 0.065 0.08 0.055 0.03
"это" 0.065 0.07 0.06 0.0488639139995114 0.0321992057529248 0.050284948038887 0.0844519512845586 0.0930941096817874 0.1 0.085 0.14 0.07 0.085 0.085
"глядеть" 0.095 0.07 0.06 0.0684094795993159 0.107330685843083 0.142474019443513 0.0888967908258512 0.0592417061611374 0.055 0.065 0.07 0.075 0.075 0.095
"чистый" 0.11 0.06 0.075 0.0684094795993159 0.0536653429215413 0.134093194770365 0.0755622722019735 0.0677048070412999 0.05 0.055 0.065 0.095 0.085 0.09
"бог" 0.04 0.045 0.04 0.00977278279990227 0.0536653429215413 0.0586657727120349 0.0844519512845586 0.0677048070412999 0.135 0.225 0.155 0.045 0.045 0.04
"сон" 0.04 0.05 0.045 0.0537503053994625 0.0536653429215413 0.0586657727120349 0.0888967908258512 0.0930941096817874 0.145 0.165 0.155 0.05 0.025 0.02
"речь" 0.075 0.08 0.07 0.073295870999267 0.0214661371686165 0.0754274220583305 0.111120988532314 0.194651320243737 0.025 0.07 0.07 0.055 0.06 0.085
"забывать" 0.045 0.045 0.05 0.0928414365990716 0.128796823011699 0.243043915521287 0.111120988532314 0.0846310088016249 0.07 0.09 0.085 0.025 0.035 0.03
"злой" 0.065 0.055 0.055 0.0195455655998045 0.171729097348932 0.201139792155548 0.137790025780069 0.194651320243737 0.075 0.05 0.04 0.025 0.055 0.04
"отдавать" 0.115 0.105 0.12 0.0879550451991205 0.0643984115058495 0.0921890714046262 0.040003555871633 0.0846310088016249 0.035 0.005 0.03 0.1 0.07 0.095
"находить" 0.1 0.055 0.065 0.0684094795993159 0.085864548674466 0.050284948038887 0.0533380744955107 0.126946513202437 0.11 0.06 0.075 0.06 0.05 0.09
"терем" 0.085 0.075 0.085 0.122159784998778 0.0965976172587743 0.0754274220583305 0.0977864699084363 0.0592417061611374 0.01 0.025 0.02 0.06 0.1 0.12
"бежать" 0.065 0.085 0.13 0.0586366967994136 0.128796823011699 0.0754274220583305 0.0444483954129256 0.016926201760325 0.055 0.105 0.05 0.06 0.09 0.065
"ворота" 0.08 0.11 0.1 0.0830686537991693 0.0965976172587743 0.0335232986925914 0.040003555871633 0.0592417061611374 0.005 0.02 0.005 0.11 0.155 0.115
"садиться" 0.165 0.09 0.105 0.0635230881993648 0.0321992057529248 0.050284948038887 0.0533380744955107 0.0253893026404875 0.04 0.03 0.045 0.065 0.095 0.11
"трава" 0.075 0.1 0.055 0.117273393598827 0.0751314800901578 0.0586657727120349 0.0844519512845586 0.0761679079214624 0.005 0.005 0.035 0.125 0.095 0.1
"горький" 0.065 0.075 0.09 0.0439775225995602 0.139529891596007 0.108950720750922 0.142234865321362 0.143872714962762 0.025 0.025 0.035 0.085 0.035 0.065
"замуж" 0.145 0.14 0.095 0.131932567798681 0.0107330685843083 0.0335232986925914 0.0177793581651702 0.00846310088016249 0 0 0 0.12 0.125 0.11
"здесь" 0.015 0.02 0.01 0.0537503053994625 0.0965976172587743 0.0754274220583305 0.0533380744955107 0.0761679079214624 0.185 0.205 0.135 0.02 0.02 0.035
"золотой" 0.07 0.065 0.09 0.0439775225995602 0.0107330685843083 0.0921890714046262 0.102231309449729 0.126946513202437 0.04 0.02 0.04 0.09 0.09 0.075
"выходить" 0.07 0.1 0.055 0.0781822623992182 0.042932274337233 0.050284948038887 0.0622277535780958 0.0507786052809749 0.03 0.015 0.025 0.14 0.09 0.115
"сокол" 0.12 0.06 0.1 0.0830686537991693 0.0643984115058495 0.0838082467314784 0.102231309449729 0.0507786052809749 0 0.005 0.005 0.095 0.09 0.08
"красавица" 0.065 0.055 0.03 0.0977278279990227 0.18246216593324 0.251424740194435 0.137790025780069 0.0761679079214624 0.01 0.02 0.015 0.035 0.03 0.065
"бить" 0.125 0.09 0.09 0.102614219398974 0.0214661371686165 0 0.0133345186238777 0.016926201760325 0.02 0.025 0.025 0.115 0.115 0.105
"время" 0.045 0.035 0.04 0.0390911311996091 0.171729097348932 0.0586657727120349 0.106676148991021 0.143872714962762 0.105 0.04 0.115 0.04 0.04 0.025
"братец" 0.105 0.11 0.185 0.034204739799658 0 0.00838082467314784 0.0177793581651702 0.03385240352065 0 0.005 0.01 0.095 0.16 0.09
"пить" 0.09 0.085 0.105 0.12704617639873 0 0.00838082467314784 0.0133345186238777 0.016926201760325 0.045 0.02 0.05 0.09 0.08 0.115
"чтоб" 0.035 0.03 0.035 0.0830686537991693 0.150262960180316 0.0838082467314784 0.106676148991021 0.0846310088016249 0.085 0.08 0.13 0.02 0.025 0.025
"быстрый" 0.12 0.08 0.11 0.0537503053994625 0.0751314800901578 0.0586657727120349 0.0800071117432661 0.03385240352065 0.02 0.01 0.04 0.07 0.085 0.065
"головушка" 0.1 0.08 0.09 0.0684094795993159 0.0214661371686165 0.0754274220583305 0.0800071117432661 0.0423155044008125 0 0.005 0.005 0.13 0.095 0.09
"проходить" 0.095 0.065 0.065 0.0537503053994625 0.118063754427391 0.0586657727120349 0.0444483954129256 0.0761679079214624 0.065 0.05 0.06 0.08 0.07 0.045
"теперь" 0.015 0.025 0.02 0.0390911311996091 0.128796823011699 0.0419041233657392 0.120010667614899 0.110020311442112 0.115 0.12 0.135 0.025 0.03 0.02
"солнце" 0.025 0.02 0.035 0.0293183483997068 0.214661371686165 0.142474019443513 0.146679704862654 0.220040622884225 0.025 0.055 0.065 0.03 0.035 0.025
"счастие" 0.015 0.01 0.005 0.0195455655998045 0.236127508854782 0.150854844116661 0.0844519512845586 0.211577522004062 0.09 0.125 0.125 0 0.005 0.01
"добро" 0.05 0.04 0.05 0.0537503053994625 0.0536653429215413 0.0838082467314784 0.0844519512845586 0.0846310088016249 0.03 0.02 0.025 0.12 0.09 0.12
"кудри" 0.05 0.05 0.09 0.102614219398974 0.042932274337233 0.0335232986925914 0.0666725931193884 0.211577522004062 0.025 0.015 0.02 0.07 0.07 0.085
"гореть" 0.07 0.055 0.05 0.0537503053994625 0.0107330685843083 0.0838082467314784 0.120010667614899 0.0677048070412999 0.085 0.05 0.075 0.04 0.06 0.045
"полюбить" 0.095 0.08 0.085 0.0830686537991693 0.0751314800901578 0.167616493462957 0.0755622722019735 0.0930941096817874 0.005 0.02 0.01 0.045 0.065 0.05
"хорошо" 0.06 0.1 0.095 0.0879550451991205 0.0751314800901578 0.0335232986925914 0.0355587163303405 0.03385240352065 0.02 0.03 0.04 0.135 0.055 0.065
"веселый" 0.07 0.05 0.04 0.117273393598827 0.0643984115058495 0.0586657727120349 0.0666725931193884 0.1354096140826 0.03 0.05 0.06 0.06 0.065 0.035
"такой" 0.075 0.05 0.04 0.0537503053994625 0.0965976172587743 0.0335232986925914 0.0533380744955107 0.0846310088016249 0.055 0.105 0.09 0.055 0.065 0.035
"речка" 0.13 0.125 0.145 0.0195455655998045 0.0107330685843083 0.00838082467314784 0.0888967908258512 0.0507786052809749 0.005 0 0.015 0.085 0.075 0.055
"брат" 0.1 0.07 0.06 0.034204739799658 0 0.0419041233657392 0.040003555871633 0.0930941096817874 0.055 0.085 0.065 0.05 0.075 0.065
"заря" 0.06 0.115 0.115 0.0293183483997068 0.0214661371686165 0 0.0800071117432661 0.0592417061611374 0.03 0.045 0.04 0.07 0.065 0.07
"буйный" 0.105 0.075 0.065 0.0586366967994136 0.107330685843083 0.0670465973851827 0.0844519512845586 0.110020311442112 0.015 0.02 0.005 0.05 0.04 0.085
"если" 0.04 0.035 0.055 0 0.107330685843083 0.100569896077774 0.0888967908258512 0.0761679079214624 0.055 0.12 0.085 0.05 0.04 0.035
"огонь" 0.05 0.045 0.035 0.0244319569997557 0.0321992057529248 0.0838082467314784 0.0844519512845586 0.0846310088016249 0.11 0.07 0.11 0.03 0.015 0.07
"сердечный" 0.06 0.03 0.06 0.102614219398974 0.160996028764624 0.175997318136105 0.0711174326606809 0.0592417061611374 0.025 0.02 0.015 0.025 0.055 0.07
"ждать" 0.035 0.05 0.045 0.0537503053994625 0.0536653429215413 0.100569896077774 0.0844519512845586 0.118483412322275 0.07 0.085 0.085 0.015 0.035 0.025
"красота" 0.035 0.05 0.035 0.0928414365990716 0.171729097348932 0.11733154542407 0.0666725931193884 0.0253893026404875 0.08 0.06 0.045 0.04 0.025 0.045
"час" 0.01 0.02 0.05 0.034204739799658 0.042932274337233 0.0335232986925914 0.0844519512845586 0.0677048070412999 0.115 0.08 0.13 0.02 0.055 0.055
"весна" 0.065 0.035 0.055 0.0195455655998045 0.193195234517549 0.11733154542407 0.137790025780069 0.0423155044008125 0.04 0.055 0.055 0.025 0.03 0.02
"третий" 0.105 0.125 0.08 0.0586366967994136 0.0107330685843083 0.00838082467314784 0.0133345186238777 0.00846310088016249 0.005 0.01 0.01 0.08 0.095 0.14
"бедный" 0.02 0.02 0.02 0.0635230881993648 0.171729097348932 0.175997318136105 0.0977864699084363 0.126946513202437 0.05 0.035 0.05 0.03 0.025 0.05
"вставать" 0.03 0.085 0.055 0.0928414365990716 0.0214661371686165 0.00838082467314784 0.0222241977064628 0.016926201760325 0.05 0.06 0.01 0.09 0.11 0.1
"беда" 0.025 0.045 0.03 0.0684094795993159 0.0965976172587743 0.301709688233322 0.0488932349542181 0.0507786052809749 0.065 0.045 0.05 0.025 0.03 0.035
"долго" 0.02 0.045 0.04 0.073295870999267 0.128796823011699 0.0754274220583305 0.0977864699084363 0.1354096140826 0.035 0.065 0.05 0.03 0.04 0.035
"дочь" 0.07 0.12 0.095 0.0439775225995602 0 0.0251424740194435 0.00888967908258512 0.0253893026404875 0.025 0.035 0.06 0.065 0.075 0.1
"или" 0.035 0.035 0.045 0.0635230881993648 0.042932274337233 0.100569896077774 0.040003555871633 0.0846310088016249 0.085 0.055 0.085 0.035 0.045 0.07
"иль" 0.015 0.005 0.015 0.0537503053994625 0.042932274337233 0.125712370097218 0.0977864699084363 0.0507786052809749 0.135 0.09 0.13 0.01 0.01 0.03
"вечер" 0.085 0.09 0.07 0.0439775225995602 0.0643984115058495 0.0754274220583305 0.040003555871633 0.0423155044008125 0.02 0.02 0.025 0.075 0.06 0.09
"век" 0.03 0.03 0.035 0.0488639139995114 0.107330685843083 0.0670465973851827 0.106676148991021 0.0677048070412999 0.105 0.075 0.085 0.025 0.015 0.02
"который" 0.04 0.065 0.02 0.0684094795993159 0.0321992057529248 0.00838082467314784 0.0266690372477554 0.016926201760325 0.085 0.13 0.165 0.035 0.015 0.035
"песня" 0.025 0.025 0.03 0 0.0107330685843083 0.0670465973851827 0.186683260734287 0.1354096140826 0.065 0.065 0.07 0.04 0.045 0.015
"воля" 0.08 0.045 0.075 0.0488639139995114 0.0214661371686165 0.0586657727120349 0.0933416303671437 0.0761679079214624 0.045 0.055 0.035 0.03 0.045 0.055
"куда" 0.08 0.045 0.055 0.0488639139995114 0.0536653429215413 0.050284948038887 0.0800071117432661 0.0423155044008125 0.055 0.04 0.015 0.07 0.065 0.065
"парень" 0.15 0.09 0.13 0.0635230881993648 0.0214661371686165 0.00838082467314784 0.040003555871633 0.00846310088016249 0.01 0.01 0 0.065 0.06 0.065
"прийти" 0.075 0.045 0.045 0.0537503053994625 0.085864548674466 0.0670465973851827 0.0622277535780958 0.0592417061611374 0.07 0.06 0.035 0.055 0.035 0.05
"ум" 0.03 0.045 0.05 0.0635230881993648 0 0.050284948038887 0.0444483954129256 0.0677048070412999 0.08 0.125 0.115 0.025 0.04 0.015
"брать" 0.09 0.095 0.08 0.0390911311996091 0.0536653429215413 0 0.00888967908258512 0.0423155044008125 0.015 0.01 0.01 0.095 0.1 0.11
"коса" 0.055 0.09 0.075 0.073295870999267 0.042932274337233 0.11733154542407 0.0977864699084363 0.0846310088016249 0.005 0.005 0.005 0.065 0.03 0.05
"дело" 0.035 0.035 0.04 0.141705350598583 0.0107330685843083 0 0.0222241977064628 0.016926201760325 0.09 0.095 0.08 0.04 0.055 0.04
"ее" 0.015 0.025 0.04 0.0293183483997068 0.0643984115058495 0.0670465973851827 0.0533380744955107 0.0507786052809749 0.105 0.15 0.075 0.025 0.025 0.045
"луг" 0.065 0.065 0.075 0.0635230881993648 0.118063754427391 0.142474019443513 0.0533380744955107 0.0592417061611374 0.02 0.03 0.005 0.015 0.06 0.06
"путь" 0.04 0.035 0.04 0.0293183483997068 0.0107330685843083 0.0838082467314784 0.111120988532314 0.0592417061611374 0.09 0.08 0.085 0.02 0.025 0.03
"удалой" 0.07 0.075 0.07 0.0488639139995114 0.042932274337233 0.0754274220583305 0.0533380744955107 0.0761679079214624 0 0 0.01 0.09 0.095 0.06
"домой" 0.06 0.095 0.09 0.0586366967994136 0.0107330685843083 0.0251424740194435 0.0266690372477554 0.016926201760325 0.005 0.02 0.005 0.08 0.105 0.105
"их" 0 0 0.005 0.00488639139995114 0.085864548674466 0.050284948038887 0.0311138767890479 0.0423155044008125 0.145 0.195 0.17 0.01 0.01 0.015
"большой" 0.12 0.09 0.085 0.0390911311996091 0.0107330685843083 0.0167616493462957 0.0133345186238777 0.0253893026404875 0.065 0.04 0.05 0.055 0.05 0.04
"князь" 0.08 0.075 0.055 0.00977278279990227 0 0.00838082467314784 0.00444483954129256 0 0.045 0.035 0.025 0.09 0.105 0.15
"сударушка" 0.1 0.13 0.075 0.112387002198876 0.0107330685843083 0 0.00444483954129256 0 0 0 0 0.1 0.07 0.08
"шелковый" 0.06 0.075 0.065 0.0977278279990227 0.0321992057529248 0.00838082467314784 0.0355587163303405 0.03385240352065 0.01 0 0.005 0.125 0.09 0.07
"голос" 0.055 0.04 0.045 0.0439775225995602 0.0536653429215413 0.0335232986925914 0.0488932349542181 0.0253893026404875 0.065 0.035 0.075 0.065 0.08 0.055
"жениться" 0.095 0.07 0.105 0.0684094795993159 0 0.0167616493462957 0.0533380744955107 0.00846310088016249 0.005 0.005 0.025 0.085 0.07 0.07
"играть" 0.06 0.055 0.035 0.0635230881993648 0.042932274337233 0.0670465973851827 0.0488932349542181 0.0507786052809749 0.07 0.025 0.055 0.06 0.065 0.04
"тогда" 0.005 0 0.01 0.034204739799658 0.214661371686165 0.0921890714046262 0.0844519512845586 0.0930941096817874 0.065 0.095 0.07 0.035 0.02 0.03
"дума" 0.045 0.045 0.07 0.00488639139995114 0.0321992057529248 0.0419041233657392 0.0622277535780958 0.160798916723087 0.08 0.065 0.055 0.035 0.025 0.035
"иной" 0.065 0.07 0.07 0.0293183483997068 0.0321992057529248 0.108950720750922 0.0577829140368033 0.00846310088016249 0.045 0.035 0.065 0.045 0.04 0.05
"сестра" 0.07 0.075 0.1 0.0390911311996091 0.0107330685843083 0.0251424740194435 0.0266690372477554 0.03385240352065 0.005 0.03 0.02 0.095 0.08 0.08
"сладкий" 0.035 0.065 0.06 0.0146591741998534 0.0321992057529248 0.0754274220583305 0.0711174326606809 0.0846310088016249 0.06 0.055 0.06 0.025 0.055 0.045
"вино" 0.05 0.03 0.035 0.0830686537991693 0 0.00838082467314784 0.0311138767890479 0.03385240352065 0.035 0.045 0.045 0.095 0.115 0.06
"ваня" 0.095 0.1 0.09 0.00977278279990227 0 0.0251424740194435 0 0.0253893026404875 0 0 0.005 0.105 0.095 0.12
"лететь" 0.035 0.015 0.035 0.0537503053994625 0.0643984115058495 0.11733154542407 0.0977864699084363 0.03385240352065 0.055 0.035 0.075 0.045 0.03 0.04
"нога" 0.05 0.085 0.06 0.0586366967994136 0.0107330685843083 0.00838082467314784 0.0222241977064628 0.0507786052809749 0.055 0.055 0.045 0.06 0.065 0.05
"солнышко" 0.03 0.035 0.03 0.0537503053994625 0.268326714607706 0.0921890714046262 0.115565828073607 0.152335815842925 0.005 0 0.005 0.03 0.03 0.03
"ох" 0.075 0.065 0.075 0.00977278279990227 0 0 0.0444483954129256 0.016926201760325 0 0.01 0.01 0.095 0.125 0.12
"прощать" 0.02 0.02 0.075 0.0781822623992182 0.042932274337233 0.00838082467314784 0.0844519512845586 0.0423155044008125 0.075 0.045 0.04 0.04 0.06 0.045
"купить" 0.1 0.075 0.08 0.0781822623992182 0 0.0167616493462957 0.0311138767890479 0.00846310088016249 0.005 0.005 0 0.055 0.065 0.125
"первый" 0.06 0.085 0.07 0.0537503053994625 0.0107330685843083 0.0167616493462957 0.040003555871633 0.0253893026404875 0.035 0.045 0.045 0.055 0.065 0.05
"будто" 0.055 0.025 0.03 0.0244319569997557 0.0751314800901578 0.0419041233657392 0.0800071117432661 0.0930941096817874 0.045 0.055 0.04 0.035 0.075 0.045
"велеть" 0.055 0.05 0.08 0.0879550451991205 0.0107330685843083 0.0670465973851827 0.0488932349542181 0.00846310088016249 0.02 0.02 0.01 0.045 0.08 0.08
"давно" 0.035 0.01 0.025 0.0244319569997557 0.0965976172587743 0.0670465973851827 0.0711174326606809 0.03385240352065 0.085 0.105 0.105 0.03 0.015 0.015
"печаль" 0.03 0.055 0.02 0.0635230881993648 0.107330685843083 0.0838082467314784 0.0488932349542181 0.0677048070412999 0.04 0.055 0.06 0.04 0.035 0.035
"сила" 0.01 0.01 0.015 0.00977278279990227 0.107330685843083 0.0167616493462957 0.0711174326606809 0.10155721056195 0.105 0.135 0.12 0.01 0.005 0.01
"синий" 0.08 0.08 0.045 0.0195455655998045 0 0.050284948038887 0.0666725931193884 0.0677048070412999 0.015 0.025 0.015 0.09 0.065 0.05
"дорожка" 0.13 0.11 0.115 0.034204739799658 0.0107330685843083 0.0335232986925914 0.040003555871633 0.00846310088016249 0 0 0.015 0.045 0.05 0.05
"верный" 0.045 0.03 0.045 0.0195455655998045 0.107330685843083 0.0754274220583305 0.0311138767890479 0.0846310088016249 0.03 0.035 0.025 0.075 0.07 0.06
"никто" 0.085 0.04 0.055 0.0293183483997068 0.0214661371686165 0.0335232986925914 0.0577829140368033 0.0592417061611374 0.03 0.015 0.055 0.075 0.055 0.045
"вести" 0.07 0.05 0.065 0.0244319569997557 0.0536653429215413 0.0419041233657392 0.00888967908258512 0.0253893026404875 0.055 0.015 0.02 0.075 0.075 0.085
"светлый" 0.01 0.02 0.015 0.0195455655998045 0.0643984115058495 0.159235668789809 0.0755622722019735 0.0677048070412999 0.07 0.085 0.095 0.02 0.025 0
"сей" 0 0.005 0 0.0439775225995602 0.0321992057529248 0.0251424740194435 0.0222241977064628 0 0.145 0.17 0.145 0.015 0 0.03
"соловей" 0.05 0.035 0.07 0.0586366967994136 0.042932274337233 0.0670465973851827 0.124455507156192 0.0423155044008125 0.015 0.005 0.035 0.065 0.02 0.03
"лютый" 0.065 0.05 0.05 0.0195455655998045 0.0751314800901578 0.0838082467314784 0.102231309449729 0.110020311442112 0.015 0.015 0.005 0.02 0.055 0.045
"мир" 0.005 0.025 0.005 0.0390911311996091 0.0107330685843083 0.0419041233657392 0.0355587163303405 0.0761679079214624 0.13 0.12 0.135 0.015 0.015 0
"цвести" 0.07 0.035 0.035 0.0390911311996091 0.139529891596007 0.050284948038887 0.102231309449729 0.0423155044008125 0.03 0.02 0.04 0.045 0.025 0.03
"голубушка" 0.075 0.085 0.085 0.0684094795993159 0.0107330685843083 0.0754274220583305 0.0444483954129256 0.03385240352065 0 0 0 0.05 0.065 0.05
"царь" 0.03 0.035 0.06 0.0439775225995602 0.0214661371686165 0.00838082467314784 0.00888967908258512 0.0253893026404875 0.09 0.105 0.105 0.005 0.025 0.06
"ехать" 0.1 0.06 0.07 0.0195455655998045 0.0214661371686165 0.0419041233657392 0.040003555871633 0.00846310088016249 0.015 0.01 0.035 0.085 0.06 0.055
"слава" 0.055 0.03 0.015 0.0293183483997068 0.0214661371686165 0.0167616493462957 0.0266690372477554 0.00846310088016249 0.15 0.11 0.09 0.005 0.025 0.03
"через" 0.035 0.045 0.06 0.0439775225995602 0.0214661371686165 0.00838082467314784 0.0355587163303405 0.0677048070412999 0.01 0.05 0.015 0.085 0.08 0.075
"смерть" 0.025 0.02 0.03 0.0195455655998045 0.118063754427391 0.0335232986925914 0.0355587163303405 0.0423155044008125 0.11 0.1 0.105 0.01 0.015 0.015
"убивать" 0.08 0.065 0.06 0.0488639139995114 0.042932274337233 0.0586657727120349 0.040003555871633 0.016926201760325 0.025 0.03 0.01 0.075 0.03 0.055
"алый" 0.055 0.045 0.035 0.107500610798925 0.085864548674466 0.050284948038887 0.0755622722019735 0.0253893026404875 0.005 0 0.015 0.045 0.055 0.05
"взор" 0 0.005 0 0.0293183483997068 0.0536653429215413 0.0586657727120349 0.0533380744955107 0.0677048070412999 0.115 0.145 0.13 0 0 0
"край" 0.03 0.02 0.03 0.0146591741998534 0.0321992057529248 0.0586657727120349 0.0844519512845586 0.0677048070412999 0.07 0.07 0.075 0.04 0.015 0.035
"вдруг" 0.005 0.01 0.005 0.0195455655998045 0.0536653429215413 0.0586657727120349 0.0622277535780958 0.0592417061611374 0.145 0.1 0.115 0 0.01 0.005
"волна" 0.005 0.03 0.015 0.00977278279990227 0.0214661371686165 0.0754274220583305 0.0933416303671437 0.0930941096817874 0.09 0.13 0.065 0.01 0.01 0
"восходить" 0.11 0.055 0.075 0.0537503053994625 0.0321992057529248 0.050284948038887 0.0444483954129256 0.0253893026404875 0.01 0 0.005 0.055 0.05 0.055
"окно" 0.06 0.035 0.065 0.0488639139995114 0.0643984115058495 0.0670465973851827 0.0755622722019735 0.0423155044008125 0.05 0.03 0.02 0.025 0.02 0.045
"дружка" 0 0 0 0.0879550451991205 0.0751314800901578 0.050284948038887 0.0577829140368033 0.0423155044008125 0 0 0 0.105 0.11 0.115
"могила" 0.015 0.005 0.015 0 0.0965976172587743 0.0670465973851827 0.0888967908258512 0.152335815842925 0.07 0.12 0.05 0 0.01 0.015
