"KIREEVSKY_1" "KIREEVSKY_2" "KIREEVSKY_3" "PESENNIKI" "RP_1810" "RP_1820" "RP_1830" "RP_1840" "ruscorpora_1" "ruscorpora_2" "ruscorpora_3" "SOBOLEVSKY_1" "SOBOLEVSKY_2" "SOBOLEVSKY_3"
"ах" 0.14 0.115 0.12 0.840459320791595 0.804980143823119 0.796178343949045 0.448928793670548 0.414691943127962 0.055 0.045 0.08 0.215 0.295 0.265
"белый" 0.56 0.49 0.53 0.283410701197166 0.24686057743909 0.184378142809252 0.262245532936261 0.228503723764387 0.05 0.04 0.065 0.36 0.35 0.37
"они" 0.145 0.14 0.175 0.25897874419741 0.311258988944939 0.259805564867583 0.177793581651702 0.296208530805687 0.515 0.555 0.59 0.195 0.175 0.175
"ни" 0.49 0.4 0.455 0.288297092597117 0.397123537619405 0.201139792155548 0.262245532936261 0.220040622884225 0.185 0.215 0.21 0.17 0.225 0.2
"от" 0.185 0.22 0.24 0.180796481798192 0.568852634968337 0.301709688233322 0.36447684238599 0.380839539607312 0.37 0.355 0.32 0.205 0.18 0.23
"из" 0.275 0.33 0.245 0.327388223796726 0.160996028764624 0.284948038887026 0.204462618899458 0.228503723764387 0.29 0.31 0.255 0.3 0.22 0.34
"один" 0.275 0.25 0.265 0.244319569997557 0.450788880540947 0.368756285618505 0.244466174771091 0.262356127285037 0.305 0.345 0.25 0.215 0.185 0.245
"молодой" 0.425 0.435 0.45 0.268751526997312 0.0751314800901578 0.0670465973851827 0.151124544403947 0.143872714962762 0.085 0.08 0.045 0.48 0.405 0.415
"душа" 0.135 0.17 0.23 0.224774004397752 0.364924331866481 0.318471337579618 0.337807805138234 0.541638456330399 0.37 0.325 0.395 0.135 0.175 0.16
"твой" 0.15 0.145 0.195 0.244319569997557 0.343458194697864 0.536372779081462 0.222241977064628 0.279282329045362 0.35 0.47 0.415 0.195 0.16 0.13
"пойти" 0.44 0.435 0.44 0.288297092597117 0.128796823011699 0.150854844116661 0.120010667614899 0.118483412322275 0.06 0.06 0.095 0.365 0.41 0.38
"но" 0.01 0.03 0.01 0.0439775225995602 0.24686057743909 0.377137110291653 0.284469730642724 0.245429925524712 0.76 0.79 0.725 0.005 0.02 0.005
"сказать" 0.315 0.27 0.265 0.312729049596873 0.203928303101857 0.377137110291653 0.15556938394524 0.23696682464455 0.165 0.175 0.19 0.205 0.27 0.295
"под" 0.3 0.335 0.23 0.224774004397752 0.107330685843083 0.167616493462957 0.217797137523335 0.245429925524712 0.2 0.15 0.18 0.255 0.305 0.33
"бы" 0.21 0.195 0.185 0.34204739799658 0.214661371686165 0.175997318136105 0.284469730642724 0.37237643872715 0.12 0.16 0.185 0.295 0.265 0.255
"себя" 0.175 0.26 0.22 0.25897874419741 0.386390469035097 0.217901441501844 0.182238421192995 0.211577522004062 0.23 0.255 0.195 0.225 0.27 0.215
"нет" 0.115 0.11 0.115 0.156364524798436 0.504454223462488 0.393898759637948 0.337807805138234 0.3385240352065 0.295 0.235 0.255 0.19 0.15 0.21
"кто" 0.22 0.21 0.19 0.175910090398241 0.354191263282172 0.201139792155548 0.204462618899458 0.194651320243737 0.25 0.285 0.26 0.22 0.185 0.235
"сам" 0.285 0.295 0.285 0.30295626679697 0.107330685843083 0.108950720750922 0.0800071117432661 0.10155721056195 0.175 0.16 0.145 0.32 0.255 0.31
"девушка" 0.405 0.435 0.53 0.200342047397997 0.0751314800901578 0.201139792155548 0.0711174326606809 0.0761679079214624 0 0.01 0.005 0.265 0.335 0.32
"без" 0.175 0.165 0.1 0.0879550451991205 0.719115595148653 0.377137110291653 0.440039114587963 0.313134732566012 0.21 0.205 0.165 0.095 0.125 0.2
"ко" 0.33 0.235 0.345 0.283410701197166 0.171729097348932 0.134093194770365 0.128900346697484 0.143872714962762 0.045 0.03 0.065 0.3 0.325 0.3
"где" 0.195 0.205 0.165 0.141705350598583 0.279059783192015 0.175997318136105 0.244466174771091 0.245429925524712 0.255 0.325 0.35 0.13 0.095 0.13
"добрый" 0.195 0.265 0.26 0.205228438797948 0.171729097348932 0.159235668789809 0.19112810027558 0.330060934326337 0.08 0.045 0.065 0.32 0.3 0.285
"становиться" 0.2 0.255 0.305 0.200342047397997 0.107330685843083 0.175997318136105 0.120010667614899 0.194651320243737 0.13 0.14 0.135 0.265 0.27 0.265
"так" 0.055 0.04 0.065 0.156364524798436 0.375657400450789 0.234663090848139 0.337807805138234 0.389302640487475 0.385 0.345 0.32 0.065 0.12 0.085
"жить" 0.215 0.17 0.195 0.175910090398241 0.386390469035097 0.268186389540731 0.235576495688506 0.16926201760325 0.115 0.13 0.205 0.18 0.265 0.195
"жена" 0.33 0.305 0.26 0.146591741998534 0.0536653429215413 0.0251424740194435 0.0977864699084363 0.0507786052809749 0.045 0.055 0.06 0.41 0.355 0.395
"идти" 0.28 0.27 0.23 0.312729049596873 0.107330685843083 0.108950720750922 0.0844519512845586 0.126946513202437 0.14 0.13 0.075 0.3 0.275 0.235
"матушка" 0.335 0.35 0.35 0.254092352797459 0.0965976172587743 0.159235668789809 0.142234865321362 0.0761679079214624 0.01 0.01 0.01 0.25 0.26 0.345
"же" 0.255 0.22 0.17 0.0390911311996091 0.289792851776323 0.175997318136105 0.217797137523335 0.346987136086662 0.225 0.19 0.14 0.17 0.165 0.24
"ходить" 0.24 0.2 0.295 0.337161006596628 0.107330685843083 0.125712370097218 0.137790025780069 0.110020311442112 0.015 0.03 0.04 0.345 0.26 0.295
