"CONTROL_SOBOLEVSKY_1" "CONTROL_SOBOLEVSKY_2" "CONTROL_SOBOLEVSKY_3" "KIREEVSKY_1" "KIREEVSKY_2" "KIREEVSKY_3" "PESENNIKI_1" "PESENNIKI_2" "PESENNIKI_3" "RUSCORPORA_1" "RUSCORPORA_2" "RUSCORPORA_3" "RUSSKIE_PESNI_1" "RUSSKIE_PESNI_2" "RUSSKIE_PESNI_3" "SOBOLEVSKY_1" "SOBOLEVSKY_2" "SOBOLEVSKY_3"
"место" 0.03 0.03 0.04 0 0.02 0.01 0.02 0.02 0.03 0.07 0.02 0.03 0.02 0.02 0.03 0.03 0.02 0
"младешенек" 0.11 0.06 0.1 0.01 0 0.01 0.04 0.03 0.01 0 0 0 0 0 0 0.01 0.03 0.03
"молоденький" 0.01 0.06 0.03 0.07 0.06 0.06 0.01 0.02 0.03 0 0 0 0 0 0 0.03 0.04 0.02
"ну" 0 0 0 0.04 0.03 0.07 0.05 0.04 0.01 0.04 0.01 0.06 0.01 0.04 0 0 0.01 0.03
"осенний" 0.03 0.04 0.04 0.02 0.01 0.03 0.03 0.02 0.02 0.01 0.01 0.01 0.05 0.03 0.05 0 0.01 0.03
"ответ" 0.01 0.02 0.01 0 0.03 0.02 0.02 0.02 0.02 0.05 0.02 0.03 0.05 0.04 0.04 0.02 0.03 0.01
"пир" 0.01 0 0.01 0.02 0.01 0.01 0.02 0.01 0.03 0.05 0.05 0.03 0.06 0.01 0.04 0.03 0.01 0.04
"поклониться" 0.04 0.04 0.01 0.04 0 0.03 0.03 0.04 0.04 0 0 0 0 0.01 0 0.03 0.06 0.07
"расставаться" 0.02 0.05 0.01 0.01 0.02 0.03 0.02 0.02 0.03 0.01 0.02 0.03 0.01 0.05 0.03 0.03 0.03 0.02
"свеча" 0.07 0.06 0.07 0.01 0.06 0.05 0 0 0 0 0.01 0.01 0.03 0.01 0.04 0.01 0.01 0
"собираться" 0.05 0.05 0.04 0.03 0 0.02 0.01 0.02 0.03 0.01 0.02 0.01 0.04 0.03 0.04 0.01 0.03 0
"травка" 0 0 0 0.08 0.05 0.04 0.02 0.02 0.01 0 0 0.01 0.05 0.03 0.04 0.03 0.01 0.05
"узнавать" 0 0.01 0.01 0.04 0.01 0 0.02 0 0.02 0.05 0.04 0.08 0.08 0.03 0.03 0.01 0.01 0
"аль" 0.01 0.04 0.02 0 0 0 0.06 0.03 0.08 0.02 0 0 0.04 0.05 0.03 0.02 0 0.03
"ванюша" 0 0.01 0.01 0.05 0.06 0.13 0 0 0 0 0.01 0 0 0 0 0 0.07 0.09
"дуня" 0 0 0 0.04 0.05 0.09 0 0 0 0 0 0 0.07 0.03 0.03 0.06 0.04 0.02
"кабак" 0.03 0.01 0.03 0.01 0.02 0.04 0.05 0.04 0.03 0 0 0 0.01 0 0 0.06 0.04 0.06
"корабль" 0 0 0.01 0.05 0.01 0.02 0.03 0.03 0.03 0.03 0.01 0 0.01 0.04 0.02 0.05 0.05 0.04
"назад" 0.07 0.03 0.04 0.02 0.02 0.04 0 0.01 0.02 0.02 0.01 0.04 0 0.01 0.03 0.03 0.03 0.01
"оно" 0.02 0.02 0 0.01 0 0 0.01 0 0.01 0.06 0.07 0.08 0.05 0.03 0.04 0.01 0.02 0
"племя" 0.05 0.04 0.02 0 0.01 0 0.05 0.02 0.05 0.01 0.01 0.02 0 0 0.02 0.04 0.04 0.05
"последний" 0.02 0.02 0.01 0.01 0 0.02 0.02 0.01 0.01 0.06 0.04 0.04 0.05 0.02 0.02 0.02 0.04 0.02
"право" 0.04 0.04 0.01 0.02 0 0.01 0.06 0.02 0.03 0.04 0.02 0.02 0.01 0.01 0.01 0.03 0.02 0.04
"прилетать" 0.04 0.02 0.04 0.05 0.02 0.02 0.02 0.03 0 0 0.02 0 0.03 0.02 0.02 0.04 0.04 0.02
"ровно" 0.02 0.02 0.05 0.02 0.02 0.03 0.01 0.02 0.03 0 0 0.01 0.02 0 0.02 0.02 0.08 0.06
"словно" 0 0 0 0.01 0.03 0.02 0 0.02 0.01 0 0.02 0.01 0.07 0.06 0.12 0.02 0.03 0.01
"среди" 0.01 0 0.01 0.05 0.02 0 0.03 0.02 0.04 0.01 0.06 0.02 0.02 0.03 0.07 0.01 0.03 0
"травушка" 0.01 0 0 0.07 0.05 0.01 0.06 0.05 0.03 0 0 0 0.04 0 0.01 0.01 0.05 0.04
"береза" 0.05 0 0.02 0.03 0.04 0.06 0.03 0.01 0.01 0 0 0 0.02 0.03 0.03 0 0.05 0.04
"государыня" 0.08 0.03 0.08 0.02 0.01 0.01 0.03 0.02 0.07 0 0 0.01 0 0 0 0.02 0.02 0.02
"мороз" 0.03 0.04 0.04 0.01 0.04 0.02 0.02 0.01 0.02 0 0 0 0.03 0.02 0.04 0 0.05 0.05
"песенка" 0.02 0.04 0.02 0.01 0.01 0.01 0.06 0.03 0.03 0.01 0 0 0.04 0.06 0.04 0.02 0.02 0
"письмо" 0 0.01 0 0.07 0.03 0.04 0.04 0.04 0.05 0 0 0.01 0.01 0 0 0.05 0.04 0.03
"рученька" 0.07 0.07 0.03 0.04 0.04 0.03 0.02 0.02 0.03 0 0 0 0 0 0.03 0.01 0.01 0.02
"страдать" 0.01 0 0 0.01 0.01 0 0.06 0.04 0.04 0.03 0.04 0.04 0.04 0.06 0.03 0 0 0.01
"сушить" 0.07 0.05 0.06 0.01 0.02 0.02 0.03 0.05 0.04 0 0 0 0 0 0.02 0 0 0.05
"чесать" 0.02 0.03 0.03 0.04 0.05 0.03 0.05 0.07 0.04 0 0 0 0 0 0 0.03 0.02 0.01
"видно" 0.05 0.02 0.02 0.03 0 0.02 0.01 0.04 0.04 0.01 0.04 0.01 0 0.06 0.03 0 0.01 0.02
"горница" 0.03 0.05 0.04 0.01 0.03 0.03 0.02 0.02 0.02 0 0 0 0 0.01 0 0.04 0.08 0.03
"дева" 0 0 0 0 0 0 0 0 0 0.1 0.09 0.1 0.01 0.04 0.07 0 0 0
"дитя" 0.03 0.02 0.03 0.02 0.05 0.04 0.04 0.03 0.02 0.01 0.01 0.01 0.01 0 0.02 0.04 0.02 0.01
"лужок" 0.02 0.02 0.02 0.08 0.04 0.03 0.03 0.01 0.04 0 0 0 0 0.02 0.01 0.04 0.01 0.04
"мед" 0.02 0.01 0.01 0.05 0.01 0.04 0.01 0.02 0.02 0.01 0 0.01 0.01 0 0.01 0.08 0.04 0.06
"милая" 0.03 0.01 0.01 0.02 0.04 0.03 0.03 0.03 0.02 0.02 0 0.01 0.05 0.03 0.03 0.02 0.03 0
"надежа" 0.04 0.04 0.1 0 0.01 0.01 0.04 0.05 0.04 0 0 0 0.01 0.01 0 0 0.02 0.04
"ноченька" 0.12 0.04 0.02 0.01 0.01 0.01 0.02 0.01 0.02 0 0 0 0.05 0.03 0.01 0.01 0.01 0.04
"обманывать" 0 0.02 0.03 0.02 0.03 0.04 0 0 0.01 0 0.01 0.06 0.01 0.07 0.05 0.02 0.01 0.03
"песок" 0.02 0 0 0.03 0.01 0.05 0.02 0.02 0.02 0.02 0.02 0.01 0.01 0.03 0.02 0.05 0.04 0.04
"полный" 0 0 0 0.03 0.02 0.02 0.02 0.04 0.03 0.07 0.06 0.06 0.01 0.03 0.01 0 0.01 0
"село" 0.02 0.05 0.02 0.02 0 0.01 0.02 0.01 0.03 0.01 0.01 0.01 0.05 0.03 0.04 0.02 0.03 0.03
"хотеться" 0 0.01 0.02 0.02 0.02 0.04 0.01 0 0 0.04 0.01 0.02 0.03 0.06 0.05 0.01 0.03 0.04
"венец" 0.03 0.04 0.02 0.01 0.02 0.03 0.01 0.01 0 0.03 0.04 0.08 0.02 0.02 0.02 0.01 0 0.01
"кафтан" 0.02 0.02 0.01 0.03 0.01 0.01 0.03 0.06 0.04 0.01 0 0 0.02 0 0.01 0.04 0.04 0.05
"лето" 0.04 0.01 0.03 0 0 0 0.01 0.04 0.02 0.01 0.01 0.04 0.07 0.07 0 0.03 0.02 0
"надо" 0.01 0.02 0.01 0.04 0.01 0.03 0.03 0.03 0 0.03 0.02 0.01 0 0.02 0.01 0.04 0.04 0.05
"носить" 0.02 0.02 0.03 0.03 0.05 0.03 0.01 0 0.01 0.01 0.04 0.03 0.02 0 0.01 0.05 0.01 0.03
"постоять" 0.02 0.02 0.04 0.03 0 0.03 0.04 0.05 0.03 0.02 0 0.01 0 0 0 0.05 0.02 0.04
"разлука" 0.03 0.01 0.01 0.04 0.01 0.01 0.02 0.01 0.01 0 0.02 0.02 0.06 0.07 0.06 0.02 0 0
"таки" 0.03 0.11 0.06 0.01 0 0.04 0 0.02 0.01 0 0 0 0.03 0.01 0.02 0.03 0.02 0.01
"хозяин" 0.06 0.03 0.06 0 0.03 0.01 0.03 0.03 0.02 0 0 0 0.01 0 0.03 0.03 0.03 0.03
"хоровод" 0.03 0 0 0.02 0.02 0 0.03 0.04 0.04 0.02 0 0.01 0.05 0.06 0.06 0.01 0.01 0
"шить" 0.07 0.08 0.08 0.03 0 0 0.03 0.02 0.04 0 0 0 0.01 0.01 0 0.01 0.01 0.01
"берег" 0.02 0 0.01 0.01 0.02 0 0.01 0.01 0.02 0.06 0.08 0.04 0.03 0.01 0.02 0 0.03 0.02
"больно" 0.03 0.04 0.04 0 0.01 0.03 0.01 0.02 0 0.02 0 0.02 0.04 0.04 0 0.05 0.03 0.01
"вороной" 0.03 0.03 0.02 0.04 0.02 0.06 0.02 0.01 0 0.01 0 0 0.03 0.04 0.04 0 0.01 0.03
"иванушка" 0.03 0.03 0.04 0.04 0.01 0.06 0.02 0.04 0.03 0 0 0 0 0 0 0.07 0.01 0.01
"ключ" 0.02 0.04 0.03 0.04 0.01 0.02 0.03 0.04 0.02 0.03 0.01 0 0.01 0.01 0.01 0.04 0.02 0.01
"кудрявый" 0.03 0.01 0.04 0.05 0.01 0.01 0.04 0.04 0.03 0 0 0.01 0 0.01 0.03 0.01 0.01 0.06
"платок" 0.02 0.03 0.01 0.03 0.01 0.05 0.03 0.04 0.03 0 0 0.01 0 0.01 0 0.03 0.02 0.07
"прощаться" 0.01 0 0.01 0.06 0.02 0.06 0.03 0.03 0.01 0.01 0.01 0.01 0.01 0.02 0.04 0.02 0.01 0.03
"птичка" 0 0.01 0 0.01 0.01 0.05 0.08 0.07 0.03 0 0 0.01 0.01 0.04 0.05 0 0.01 0.01
"бродить" 0.02 0.02 0.01 0 0.01 0.01 0.02 0.01 0.01 0.05 0.04 0.03 0.06 0.02 0.02 0.03 0 0.02
"веселиться" 0.02 0.04 0.02 0.01 0.01 0.01 0.02 0.04 0.04 0 0.03 0.02 0.04 0.06 0.01 0 0.01 0
"деньги" 0.02 0.03 0.03 0.01 0.04 0.04 0.01 0.01 0.01 0.02 0.01 0.01 0.01 0 0 0.04 0.04 0.05
"детушки" 0.04 0.04 0.03 0.02 0.05 0.04 0.03 0 0.01 0 0 0 0.01 0 0.02 0.01 0.06 0.02
"дунай" 0.03 0.03 0.04 0.03 0.02 0.02 0.01 0.01 0.02 0.01 0.02 0.01 0 0 0 0.02 0.07 0.04
"ет" 0.08 0.1 0.11 0 0 0.01 0 0 0 0 0 0 0 0 0 0.01 0.04 0.03
"заплакать" 0.02 0.02 0.02 0.04 0.01 0.06 0.03 0.02 0 0.01 0.03 0.01 0 0.02 0 0.04 0.03 0.02
"здравствовать" 0.05 0.01 0.06 0.03 0.02 0.04 0.03 0.01 0.03 0.01 0.03 0 0.01 0.01 0.01 0.01 0.01 0.01
"зима" 0.03 0.04 0.01 0.02 0.02 0.03 0.02 0.01 0.01 0 0.02 0.01 0.02 0.02 0.05 0.05 0.02 0
"каменный" 0.02 0.04 0.05 0.03 0.03 0.02 0.05 0.02 0.03 0 0 0.01 0.01 0 0.02 0.04 0 0.01
"крушить" 0.05 0.02 0.05 0.02 0.04 0.02 0.03 0.03 0.02 0 0 0 0.01 0.02 0.01 0.01 0.02 0.03
"крыльцо" 0.02 0.02 0.04 0.02 0.05 0.02 0.02 0.03 0.02 0.02 0.01 0 0.02 0.01 0.01 0.01 0.03 0.03
"кукушечка" 0.08 0.06 0.09 0.03 0.02 0.04 0.01 0.01 0.01 0 0 0 0 0 0 0.01 0.01 0.01
"невестушка" 0.09 0.11 0.09 0.04 0.01 0.02 0 0 0 0 0 0 0 0 0 0 0.02 0
"ноженька" 0.02 0.02 0.03 0 0.02 0.05 0.03 0.03 0.04 0 0 0 0 0 0.01 0.03 0.05 0.05
"перстень" 0.03 0.03 0.04 0.04 0.01 0.05 0.01 0.02 0.01 0 0 0 0.01 0.01 0.03 0.02 0.02 0.05
"печальный" 0.01 0.01 0 0 0.02 0 0.01 0 0.01 0.07 0.04 0.01 0.05 0.07 0.07 0 0 0.01
"пожаловать" 0.05 0.02 0.02 0.02 0.01 0.01 0.06 0.03 0.06 0.01 0 0.01 0 0 0 0.04 0.03 0.01
"поить" 0.01 0.01 0.02 0.03 0.02 0.03 0.01 0.05 0.05 0.03 0 0 0.01 0 0.01 0.03 0.02 0.05
"полагать" 0 0.01 0.01 0.03 0.04 0.01 0.03 0.03 0 0.01 0.01 0 0.01 0.03 0.01 0.06 0.08 0.01
"прижимать" 0.03 0.02 0.04 0 0 0.01 0.03 0.04 0.05 0 0.01 0.01 0.01 0.04 0.05 0 0.03 0.01
"сирота" 0.03 0.04 0.01 0.03 0 0.05 0 0.02 0 0.02 0.01 0 0.07 0.02 0.01 0.01 0.03 0.03
"скучно" 0.01 0.01 0.02 0 0.01 0 0.01 0.02 0.01 0.01 0.01 0.01 0.09 0.09 0.06 0 0 0.02
"слушать" 0.01 0.02 0.02 0.02 0.02 0.01 0.02 0.01 0.02 0.01 0.02 0.02 0.04 0.05 0.07 0 0.01 0.01
"степь" 0 0 0 0.04 0.03 0.04 0 0 0 0.05 0 0 0.06 0.07 0.05 0.01 0.01 0.02
"уходить" 0 0 0.01 0.03 0 0.03 0.01 0.02 0.02 0.03 0.05 0 0.03 0.04 0.03 0.03 0.02 0.03
"чей" 0.02 0.02 0 0.01 0 0.01 0.02 0.03 0.01 0.04 0.05 0.03 0.01 0.02 0.02 0.04 0.03 0.02
"шляпа" 0.03 0.03 0.03 0.05 0.01 0.03 0.01 0.01 0 0 0 0.01 0.02 0.01 0 0.06 0.03 0.05
"весть" 0.03 0.03 0.01 0.02 0.01 0.01 0.01 0.03 0.01 0 0.04 0.03 0.02 0.05 0.05 0 0.01 0.01
"вить" 0.01 0 0.01 0.02 0.01 0.08 0.03 0.04 0.02 0 0.02 0 0.01 0.02 0.01 0.01 0.05 0.03
"голубой" 0.02 0.01 0 0.03 0.04 0.02 0.03 0.03 0.01 0.03 0.02 0.01 0.04 0.02 0.04 0 0 0.02
"ненаглядный" 0.01 0 0.02 0 0 0 0 0 0 0 0 0 0.08 0.1 0.16 0 0 0
"отворять" 0.05 0.03 0.03 0.03 0.02 0.02 0.04 0.01 0.03 0.01 0 0 0 0.01 0.02 0.01 0.05 0.01
"очень" 0.05 0.03 0.02 0.03 0.01 0.01 0.02 0.01 0.03 0.04 0.03 0.01 0 0 0 0.04 0.02 0.02
"посадить" 0.02 0.01 0.01 0.01 0.02 0 0.02 0.02 0.04 0.01 0.01 0.01 0.02 0 0.03 0.02 0.06 0.06
"приказывать" 0.01 0.03 0.02 0.02 0.04 0.06 0.02 0.01 0.02 0 0.01 0.02 0.01 0.01 0.01 0.03 0.02 0.03
"ребята" 0.01 0.02 0.01 0.05 0.02 0.04 0.01 0.04 0.03 0 0 0 0 0.02 0 0.03 0.05 0.04
"ступать" 0.04 0.03 0.02 0 0.03 0 0.04 0.03 0.05 0.04 0 0.01 0 0.01 0.01 0.01 0.04 0.01
"тень" 0 0 0 0 0 0 0 0.01 0.01 0.06 0.11 0.11 0.02 0.02 0.03 0 0 0
"уже" 0.01 0.01 0.02 0 0 0 0 0 0 0.09 0.05 0.05 0.03 0.03 0.05 0.03 0 0
"веселие" 0.01 0 0 0.01 0.01 0.03 0.02 0.03 0 0 0.05 0.05 0.07 0.03 0.05 0 0 0
"всякий" 0.02 0 0.01 0.02 0.01 0.01 0.05 0.05 0.04 0.04 0.01 0.04 0 0.01 0.02 0.01 0.02 0
"гроб" 0.03 0.01 0.01 0.02 0 0.01 0.01 0 0.02 0.06 0.02 0.02 0.04 0.02 0.05 0.03 0.01 0
"конец" 0.02 0.04 0.02 0.02 0.01 0 0 0 0 0.04 0.01 0.04 0.01 0.05 0.04 0.03 0.01 0.02
"наказывать" 0.01 0.02 0.02 0.02 0.01 0.02 0.01 0.04 0.03 0 0.03 0 0.03 0.01 0.01 0.04 0.03 0.03
"открывать" 0.05 0.04 0.04 0.01 0.01 0.02 0.01 0.01 0.01 0.02 0.03 0.05 0 0 0 0.04 0.02 0
"повесить" 0.01 0.02 0.01 0.02 0.03 0.01 0.01 0.03 0.01 0 0.01 0 0.04 0.03 0.03 0.03 0.04 0.03
"садочек" 0.01 0.03 0.02 0.06 0.06 0.02 0.03 0.03 0.05 0 0 0 0.01 0.01 0 0.01 0 0.02
"сени" 0.04 0.04 0.05 0.03 0.04 0.02 0.02 0.01 0.01 0 0.01 0.01 0 0 0.02 0 0.02 0.04
"сосед" 0.01 0.04 0.03 0.03 0.02 0.02 0.02 0.02 0.01 0.02 0.05 0.03 0 0 0 0 0.03 0.03
"целый" 0.01 0.01 0 0 0.02 0 0 0 0 0.11 0.01 0.02 0.08 0.05 0.05 0 0 0
"вспоминать" 0.02 0.01 0.02 0 0.03 0.01 0.03 0.05 0.03 0 0.01 0.01 0.05 0.03 0.02 0 0.01 0.02
"калина" 0.03 0 0.03 0.01 0.04 0.05 0.03 0.05 0.05 0 0 0 0 0 0 0.02 0.01 0.03
"лить" 0.01 0.01 0 0.03 0 0.01 0.01 0.01 0.01 0.02 0.01 0.02 0.04 0.09 0.08 0 0 0
"отчего" 0.01 0.02 0.01 0.01 0.02 0.04 0 0 0 0.02 0.01 0.01 0.06 0.03 0.08 0.02 0 0.01
"переставать" 0.02 0.01 0.02 0.01 0 0 0.04 0.04 0.04 0 0 0 0.04 0.03 0.07 0.01 0.01 0.01
"правда" 0.01 0.01 0 0.01 0.01 0 0 0.02 0.01 0.08 0.04 0.05 0.01 0.01 0.01 0.02 0.01 0.05
"светить" 0 0 0 0.02 0.01 0.05 0.01 0.01 0.01 0.03 0.02 0.03 0.06 0.05 0.02 0 0.03 0
"серебряный" 0.04 0.01 0.01 0.03 0.04 0.01 0.04 0.03 0.03 0 0 0 0.01 0 0 0.02 0.06 0.02
"таков" 0.02 0.01 0 0 0.01 0.01 0.03 0.02 0.05 0.04 0.04 0.01 0.01 0 0 0.04 0.02 0.04
"беседа" 0.04 0.03 0.05 0 0.02 0.01 0.01 0.02 0.02 0 0.01 0 0.02 0.01 0.03 0.02 0.03 0.02
"ведать" 0.02 0.02 0.01 0.01 0 0.01 0.03 0.02 0.02 0 0.01 0 0.05 0.04 0.04 0 0.02 0.04
"вор" 0.01 0 0 0.07 0.02 0.02 0.01 0.01 0.02 0.01 0.03 0.01 0 0 0 0.05 0.03 0.05
"воспевать" 0.01 0.02 0 0.01 0.02 0 0.05 0.04 0.06 0.02 0.01 0.02 0 0 0 0.02 0.02 0.04
"горесть" 0 0 0 0 0.01 0 0.04 0.03 0.06 0 0.02 0 0.09 0.05 0.04 0 0 0
"далече" 0.07 0.07 0.05 0.01 0.02 0 0.02 0.02 0.01 0 0 0 0 0 0 0 0.04 0.03
"живот" 0.02 0.02 0.01 0.07 0.01 0.02 0.02 0.04 0.04 0 0 0 0 0 0 0.02 0.06 0.01
"заезжать" 0.04 0.02 0.02 0.03 0.02 0.01 0.04 0.01 0.03 0 0 0 0.03 0.01 0.02 0.01 0.03 0.02
"зло" 0 0.01 0 0.06 0 0.01 0 0.03 0 0.04 0.02 0.02 0.03 0.06 0.01 0.02 0.03 0
"злодейка" 0.03 0.04 0.02 0 0 0 0.01 0.02 0.02 0 0 0 0.04 0.06 0.06 0.02 0.01 0.01
"княгиня" 0 0 0 0.03 0.03 0.04 0 0 0 0 0 0 0 0 0 0.04 0.13 0.07
"кольцо" 0.02 0 0.02 0.01 0 0 0 0 0 0.01 0 0 0.05 0.09 0.09 0.03 0.02 0
"можно" 0 0 0 0.02 0.02 0.02 0 0.04 0.04 0.04 0.03 0.05 0.01 0.02 0.02 0.02 0 0.01
"мука" 0.01 0.01 0 0 0.01 0.01 0.04 0.03 0.03 0.02 0.04 0.03 0.03 0.01 0.02 0.03 0.01 0.01
"наживать" 0.05 0.03 0.05 0.03 0.03 0.01 0 0 0 0.01 0 0 0 0.01 0.02 0.01 0.04 0.05
"напоить" 0.02 0 0.01 0.04 0.02 0.04 0.01 0.03 0.02 0 0 0.01 0.01 0 0.02 0.03 0.05 0.03
"обнимать" 0.01 0.02 0.02 0.04 0.02 0.03 0.01 0.02 0.01 0.02 0.03 0.02 0.03 0.01 0.02 0.02 0.01 0
"постелюшка" 0.01 0.02 0.01 0.01 0.07 0.04 0.07 0.04 0.03 0 0 0 0 0 0 0.01 0.01 0.02
"расцветать" 0 0 0 0.05 0.02 0.03 0.02 0.03 0.04 0.04 0.01 0.01 0.01 0.03 0.01 0.02 0.01 0.01
"рожать" 0.01 0.06 0.04 0.03 0.06 0.02 0 0 0 0.02 0.01 0.01 0 0.01 0.01 0.02 0.01 0.03
"сделать" 0.01 0.01 0.01 0.04 0.01 0.05 0.01 0 0.02 0.06 0 0 0 0.02 0 0.03 0.02 0.05
"тесовый" 0.01 0 0.01 0.03 0.04 0.01 0.04 0.04 0.05 0 0 0 0 0 0.01 0.05 0.02 0.03
"удалый" 0.02 0.01 0.02 0.02 0.02 0.02 0.02 0 0.01 0 0 0 0.01 0.01 0 0.07 0.04 0.07
"худо" 0.02 0.05 0.01 0.04 0.03 0.02 0.02 0.02 0.05 0 0.02 0 0.01 0 0 0.04 0 0.01
"чуть" 0.01 0.01 0 0.01 0.02 0.01 0.02 0.03 0.04 0.03 0.01 0.06 0.03 0.03 0.01 0 0.01 0.01
"барыня" 0.02 0 0 0 0 0.02 0.06 0.08 0.08 0 0.02 0 0 0 0 0.01 0.01 0.03
"больной" 0 0.01 0.03 0.03 0 0.02 0.04 0.06 0.03 0 0.02 0.02 0 0.03 0 0.02 0.02 0
"будить" 0.04 0.01 0.03 0.03 0.03 0.05 0.02 0.02 0.01 0 0.01 0 0.01 0.01 0.02 0.01 0.01 0.02
"готовый" 0 0.01 0.01 0 0 0 0.02 0.01 0.02 0.09 0.09 0.04 0.02 0 0.01 0 0 0.01
"гусли" 0.02 0.06 0.05 0.01 0.03 0.03 0.02 0 0.02 0.01 0 0 0.02 0 0.01 0.03 0.01 0.01
"дружочек" 0 0.01 0 0.07 0.03 0.02 0.06 0.02 0.02 0 0 0.01 0 0.03 0.02 0.04 0 0
"единый" 0.05 0.03 0.04 0.03 0.04 0.01 0.01 0 0 0.02 0.02 0.01 0.01 0 0 0 0.02 0.04
"иван" 0.03 0.03 0.03 0.04 0.04 0.02 0.01 0.01 0.01 0 0.02 0.02 0.02 0.01 0 0.02 0 0.02
"казак" 0 0.01 0.01 0.03 0.03 0.02 0 0 0 0 0.02 0 0.01 0.02 0.02 0.07 0.03 0.06
"кричать" 0.01 0.01 0.01 0.04 0.04 0.02 0.03 0.02 0.03 0 0.03 0 0 0.02 0.02 0.02 0.01 0.02
"кроватушка" 0.01 0.01 0.01 0.05 0.05 0.06 0.01 0.03 0.03 0 0 0 0.01 0 0.01 0.02 0.02 0.01
"лебедушка" 0.03 0.05 0.04 0 0.04 0.02 0.01 0.01 0.01 0 0 0 0.01 0.03 0.02 0.02 0.04 0
"народ" 0 0.01 0 0.02 0.02 0.03 0 0 0 0.06 0.08 0.04 0.01 0 0.01 0.01 0.02 0.02
"проводить" 0.01 0.04 0.03 0.02 0.01 0.02 0 0 0 0.04 0.03 0.03 0.02 0.02 0.01 0.03 0 0.02
"снег" 0 0.02 0.02 0.01 0.06 0 0 0 0 0.01 0.06 0.03 0.03 0.03 0.01 0.03 0.01 0.01
"стадо" 0 0.01 0.02 0 0.01 0.01 0.08 0.07 0.03 0.04 0 0 0.03 0.02 0 0 0.01 0
"стлать" 0.03 0.04 0.05 0.02 0.03 0.05 0 0.02 0.03 0 0 0 0 0 0 0.04 0 0.02
"столб" 0.01 0 0 0.02 0.02 0.02 0.01 0.01 0.02 0.01 0 0.02 0 0.01 0.02 0.07 0.04 0.05
"тошно" 0.03 0.05 0.03 0.01 0.06 0.03 0.01 0.02 0.02 0 0 0 0.02 0.01 0.01 0.01 0.01 0.01
"бледный" 0.03 0.02 0.01 0 0 0 0 0.01 0.01 0.04 0.04 0.04 0.02 0.07 0.01 0 0.01 0.01
"вздох" 0.01 0.01 0 0.01 0.01 0.01 0.02 0.01 0.01 0.03 0.02 0.04 0.06 0.01 0.05 0 0.01 0.01
"выбирать" 0.01 0.06 0.04 0.01 0 0.01 0 0.02 0.01 0 0 0.01 0 0.01 0.01 0.05 0.02 0.06
"дарить" 0.01 0.03 0.02 0.01 0.02 0.02 0.02 0 0.01 0 0.01 0.01 0.04 0.04 0.04 0.04 0 0
"доля" 0.01 0.01 0 0.02 0 0 0 0 0 0.04 0.01 0 0.09 0.06 0.07 0 0.01 0
"желать" 0 0.01 0.01 0.01 0.01 0.01 0 0.01 0.01 0.08 0.09 0.01 0.01 0.02 0.03 0 0.01 0
"крепко" 0.02 0.02 0.01 0.02 0.01 0.03 0.01 0.03 0.04 0.01 0 0.02 0.02 0 0.04 0.01 0.02 0.01
"любимый" 0.02 0.03 0.03 0 0 0.03 0.03 0.02 0.02 0 0.03 0.02 0.02 0.02 0.01 0.01 0.03 0
"маленький" 0.01 0.01 0.01 0.02 0.03 0.06 0.01 0.01 0 0.01 0 0.02 0 0 0.01 0.04 0.04 0.04
"орел" 0.03 0.02 0.01 0.04 0 0.01 0.02 0.04 0.01 0.05 0.03 0 0.01 0 0.01 0.01 0.02 0.01
"потерять" 0.01 0.01 0.02 0.02 0.02 0.02 0.03 0.06 0.05 0 0 0.01 0.01 0.02 0 0.01 0.02 0.01
"прежде" 0 0 0 0.02 0 0.01 0.03 0.04 0.05 0.03 0.07 0.04 0.02 0 0.01 0 0 0
"провожать" 0.02 0 0.02 0.06 0.06 0.04 0.01 0.03 0 0 0.01 0 0.01 0 0.01 0.02 0.01 0.02
"проливать" 0.03 0.05 0.03 0.02 0.02 0.02 0.01 0.02 0.01 0.01 0.02 0.01 0.02 0.03 0.02 0 0 0
"пустой" 0 0.01 0.01 0 0.03 0.01 0.01 0 0.03 0.06 0.02 0.05 0.03 0.02 0.04 0 0 0
"рубль" 0.01 0 0.01 0.05 0.03 0 0.04 0.01 0.03 0 0 0.01 0 0 0 0.03 0.05 0.05
"серый" 0.01 0.01 0 0.01 0.02 0.04 0.01 0.01 0.01 0.02 0 0.02 0.01 0.01 0.01 0.03 0.05 0.05
"слезный" 0.01 0.05 0.04 0 0 0 0.04 0.01 0.04 0.01 0 0 0.02 0.03 0.01 0.02 0.01 0.03
"тихо" 0 0 0 0 0 0 0 0 0 0.14 0.08 0.06 0.02 0 0.02 0 0 0
"честь" 0.02 0.02 0.03 0 0 0.02 0.03 0.01 0.03 0.06 0.03 0.03 0.01 0 0 0.01 0.01 0.01
"ягодка" 0.06 0.04 0.05 0 0.01 0.03 0 0.01 0 0 0 0 0.01 0.05 0 0.03 0.01 0.02
"ворон" 0.02 0.01 0.01 0.03 0.04 0.04 0.02 0.02 0 0 0 0.01 0.05 0 0.03 0.01 0 0.02
"детина" 0.01 0.01 0.01 0.01 0.01 0.02 0.07 0.03 0.09 0 0 0 0 0.01 0 0.03 0 0.01
"змея" 0.03 0.01 0 0.01 0.01 0.02 0.02 0.01 0.02 0 0.01 0.02 0.07 0.02 0.02 0.01 0.01 0.02
