id;Name;Title;Publication;Year;period;G_title;Comment;pub_year;pub_type;Meter;Regularity;Rhyme;Type;Meter2;Syllab;Clausula;Fin;melody;melody_src
249;Макаров, М.Н.;Владислав! Душа-надежда;ВЕ. 1823. № 9. С. 24-26;1823;1820;Владислав и Людмила;;1823;periodical;Х43ж;reg;unrhymed;core;Х;4 + 3;ж;рз;no;
250;Малышев, Г.;Буйный ветер воет;Стихотворения Григория Малышева. СПб., 1848. С. 3-4;1828;1820;Песня русского воина под Варною, в 1828 году;;1848;collection;Х32ж;unreg;unrhymed;core;Х;3 + 2;ж;рз;no;
251;Малышев, Г.;Еду в бой кровавый;Стихотворения Григория Малышева. СПб., 1848. С. 15-16;1848;1840;Разлука;;1848;collection;Х3ж;reg;rhymed;core;Х;3;ж;3;no;
252;Малышев, Г.;В высоком тереме;Стихотворения Григория Малышева. СПб., 1848. С. 26-27;1848;1840;Моей невесте;;1848;collection;Я3;unreg;rhymed;core;Я;3;мж (неурег);3;no;
253;Малышев, Г.;По дорожке пыль столбом летит;Стихотворения Григория Малышева. СПб., 1848. С. 30;1848;1840;Русская песня;;1848;collection;Х54ммжж;reg;rhymed;core;Х;5 + 4;м;рз;yes;Вдоль по улице пыль летит? (Сахаров)
254;Мартынов, В.;Вы скажите мне люди добрые;Литературная газета! 1843. № 40, 10 окт. С. 716-717;1843;1840;Две русские песни;;1843;periodical;Пс;unreg;unrhymed;core;Пс;1;;Пс;no;
255;Междуделье;Появилася туча черная;Междуделье. М., 1848. С. 48-50;1848;1840;Туча;;1848;periodical;Пс2;reg;unrhymed;core;Пс;2;;Пс;no;
256;Башмаков, И.И.;Ты раздолье наше, темный лес;Пантеон русского и всех европейских театров. 1841. № 9. С. 86/ Междуделье. М., 1848. С. 60-64;1841;1840;Дума разбойника;Подп: И. Ваненко;1841;periodical;Х4д;unreg;unrhymed;core;Х;4;д;4;no;
257;Междуделье;Не ужель от  твоих очей;Междуделье. М., 1848. С. 109-110;1848;1840;;;1848;periodical;Ан2д;unreg;rhymed;core;Ан;2;д;2;no;
258;Междуделье;Бусурманский ворожей, Скобей Ящерин;Междуделье. М., 1848. С. 148;1848;1840;Песня (Из древней рукописи);;1848;periodical;Тактовик-3;unreg;unrhymed;core;Тк;;;Неклассический;no;
259;Междуделье;Ах и где еще такой есть молодец;Междуделье. М., 1848. С. 149-150;1848;1840;Свадебная песня (употреблявшаяся в старину на сговорах);;1848;periodical;Тактовик-3;unreg;unrhymed;core;Тк;;;Неклассический;no;
260;Мерзляков;Среди долины ровныя;ВЕ. 1811. № 2. С. 92/ Мерзляков, А.Ф. Стихотворения. Л., 1958. С. 57-58;1810;1800;Одиночество. Две песни;;1810;periodical;Я3дм;reg;rhymed;core;Я;3;дм;3;no;
261;Мерзляков;Я не думала ни о чем в свете тужить;Кашин Д.Н. Три народные русские песни для пения и фортепьян (ноты)/ Русское национальное песнопение. М., 1809. С. 172-173 (без указания авторства с переменами)/ Собрание русских стихотворений. Спб., 1810. Ч. 3. С. 303-304/ Мерзляков, А.Ф. Стихотворения. Л., 1958. С. 58-59;1803;1800;;;1810;periodical;Х6м;unreg;rhymed;core;Х;6;м;6;yes;Я не знала ни о чем в свете тужить
262;Мерзляков;Не липочка кудрявая;Денница. М., 1830. С. 111-113/ Мерзляков, А.Ф. Стихотворения. Л., 1958. С. 60-61;1810;1800;Русская песня;;1830;periodical;Аф2дж + Я3д;unreg;unrhymed;core;Аф;2;дж;2;no;
263;Мерзляков;Вылетала бедна пташка на долину;Новейший и полный российский общенародный песенник. М., 1810. С. 120-121 (здесь же указание на музыку)/ Песни и романсы. М., 1830. С. 000/ Мерзляков, А.Ф. Стихотворения. Л., 1958. С. 61-62;1810;1800;;;1830;collection;Х6ж;reg;unrhymed;core;Х;6;ж;6;yes;Вылетала голубина на долину (Прач)
