id;Name;Title;Publication;Year;period;G_title;Comment;pub_year;pub_type;Meter;Regularity;Rhyme;Type;Meter2;Syllab;Clausula;Fin;melody;melody_src
1;-въ;Звезда, звезда;Цинтия на 1832. М., 1831. С. 132-133;1831;1830;Песня;;1831;periodical;Я21мд;reg;unrhymed;core;Я;21;мд;рз;no;
2;Б/П;Что ты, конь-донец лихой;Литературная газета. 1840. № 13, февраля 14. С. 298;1840;1830;Конь;;1840;periodical;Х4ммжмжм;unreg;rhymed;core;Х;4;ммжмжм;4;no;
3;Б/П;Ты почем, сердечко;Литературная газета. 1840. № 61, 31 июля. С. 1365;1840;1830;К сердечку;;1840;periodical;Х3ж;unreg, сбои, сверхсхемные, амф;occ;core;Х;3;ж;3;no;
4;Одоевский, А.И;Как носятся тучи за ветром осенним;Современник. 1853. № 11. С. 59 + БП 1958;1831;1830;К ***;приписываемое Одоевскому;1853;periodical;Аф3жм;reg;unrhymed;core;Аф;3;жм;3;no;
5;N.N.;Ах, знаю я, красавица;Лит.прибав. Рус. Инвалид. 1833. № 20, март 11. С. 159;1833;1830;Русская песня;;1833;periodical;Я3дм;unreg, cбивается на Я4м в Я3д;rhymed;core;Я;3;дм;3;no;
6;А.Д.;Ветер бурный воет в поле;ВЕ. 1825. № 11. С.218-219.;1824;1820;Песня;;1825;periodical;Х223ж;reg;unrhymed;core;Х;223;ж;рз;no;
7;Авдуловский;Ляжу я засну;Литературная газета М., 1847. № 16, 16 апреля. С. 254-255;1847;1840;Ляжу я засну;мы получили из Воронежа девять стихотворений от г-на Авдуловского… представим самим читателям сделать заключение о достоинстве этих стихотворений, подобных которым немного на русском языке;1847;periodical;Пс;reg;unrhymed;core;Пс;1;;Пс;no;
8;Ал. Бистром;Ласточка летит из-за моря;Лит.прибав. Рус. Инвалид. 1835. № 21, март 13. С. 167;1835;1830;Песня;;1835;periodical;Х4д;reg;unrhymed;core;Х;4;д;4;no;
9;Ал. Бистром;В воскресный день все девушки;Календарь муз на 1826 г. СПб., 1826. Стихи. С. 110-111;1826;1820;Песня;;1826;periodical;Я3дм;reg;occ;core;Я;3;дм;3;no;
10;Аладьин, Е.В.;Ах не ветры не осенние;Аладьин, Е.В. Мои досуги. СПб., 1824. С. 14-15.;1824;1820;Песня;;1824;collection;Х4д;reg;occ;core;Х;4;д;4;no;
11;Алипанов, Е.И.;Дуня милая сидела под окном;Стихотворения крестьянина Егора Алипанова. СПб., 1830. С. 23-25;1830;1820;;;1830;collection;Х6м;reg;rhymed;core;Х;6;м;6;no;
12;Алипанов, Е.И.;С тоскою унылой пришел я на луг;Стихотворения крестьянина Егора Алипанова. СПб., 1830. С. 31-32;1830;1820;Грусть по милой;;1830;collection;Аф4м;reg;rhymed;periph;Аф;4;м;4;no;
13;Алипанов, Е.И.;Радость поселянки;Стихотворения крестьянина Егора Алипанова. СПб., 1830. С. 28-29;1830;1820;;;1830;collection;Я3жм;reg;rhymed;periph;Я;3;жм;3;no;
14;Алипанов, Е.И.;Полети голубок;Стихотворения крестьянина Егора Алипанова. СПб., 1830. 38-39;1830;1820;Голубок. Песня;;1830;collection;Ан22м11ж + Х4м;reg;rhymed;periph;Логаэд;2211;мж;Логаэд;yes;Ах тошно мне (Нелединский-Мелецкий)
15;Алипанов, Е.И.;Весна придет;Стихотворения крестьянина Егора Алипанова. СПб., 1830. С. 46-47;1830;1820;Поселянка ожидающая весны;;1830;collection;Я223м;reg;rhymed;periph;Я;223;м;рз;no;
16;Алипанов, Е.И.;Соскучилось Машеньке;Стихотворения крестьянина Егора Алипанова. СПб., 1830. С. 133-1345;1830;1820;Сельская песня;;1830;collection;Аф2дм;reg;rhymed;core;Аф;2;дм;2;no;
17;Алипанов, Е.И.;Над быстрою реченькой;Алипанов, Е.В. Ханский чай. СПб., 1835. С. 11;1835;1830;;;1835;collection;Аф2дм;reg;rhymed;core;Аф;2;дм;2;no;
18;Алипанов, Е.И.;Ох вы чарки покатушки;Алипанов, Е.В. Ханский чай. СПб., 1835. С. 50-51;1835;1830;;;1835;collection;Х4ж;reg;rhymed;periph;Х;4;ж;4;no;
19;Алипанов, Е.И.;Наступил, настал нам последний век;Алипанов, Е.В. Ханский чай. СПб., 1835. С. 61;1835;1830;;;1835;collection;Пс2;reg;unrhymed;periph;Пс;2;;Пс;no;
20;Асконченский, В.;Не ходи за старого;Асконченский, В.И. Стихотворения В. Аскоченского. Киев, 1846. С. 102-104;1839;1830;Выбор жениха;;1839;collection;Х3дм;reg;rhymed;core;Х;3;дм;3;yes;Не женись на умнице (Тимофеев)
21;Асконченский, В.;Вишь как рвет как гудит;Маяк. 1844. Кн. 31. С. 15-16/ Асконченский, В.И. Стихотворения В. Аскоченского. Киев, 1846. С. 105-107;1840;1830;Вьюга;;1840;periodical;Ан21мд;reg;unrhymed;core;Ан;21;мд;рз;no;
22;Асконченский, В.;Не ходи ко мне;Маяк. 1844. Кн. 31. С. 16-17 (Подпись: Виктор А-ий)/ Асконченский, В.И. Стихотворения В. Аскоченского. Киев, 1846. С. 130-133;1843;1840;Русская песня;;1843;periodical;Пс;unreg, + Ан2м;unrhymed;core;Пс;1;;Пс;yes;Не гуляй мой друг (Цыганов)
23;Асконченский, В.;Эх зачем же ты;Стихотворения В. Аскоченского. Киев, 1846. С. 136-139;1837;1830;Жалоба;;1837;collection;Пс;unreg, + Ан2м;unrhymed;core;Пс;1;;Пс;no;
24;Асконченский, В.;Что задумался;Стихотворения В. Аскоченского. Киев, 1846. С. 144-147;1846;1840;Кручина;;1846;collection;Пс, Х3ж;reg;occ;core;Пс + Х3;;;Полиметрия;no;
25;Асконченский, В.;Погляди родимая;Стихотворения В. Аскоченского. Киев, 1846. С. 155-158;1843;1840;Неведомая кручина (посвящ. Т.Г. Шевченке);;1843;collection;Х3дм;reg;rhymed;periph;Х;3;дм;3;no;
26;Асконченский, В.;Ну ка Ваня выпьем что ли;Стихотворения В. Аскоченского. Киев, 1846. С. 176-178;1843;1840;Разгулье русского человека;;1843;collection;Х4жм;reg;rhymed;periph;Х;4;жм;4;no;
27;Астафьев, В.;С горем юноша печальный;МТ. 1826. Ч.11. №. 17. С. 7-8;1826;1820;Песня;;1826;periodical;Х4жм;reg;rhymed;periph;Х;4;жм;4;no;
28;Б/П;Настенька в пятнадцать лет;Весенние цветы, подарок для светлого праздника на 1830 г. М., 1830. С. 146-148;1830;1820;Русская песня (на голос: Как у нас было на улице) популярная песня, певшаяся в дивертисментах, 1823-1829 год (КП 569. АфД 11286) (КП 124520/53. АфД 19123);С. 150-151. Григорий Поликарпович Бубнов, молодой семнадцатилетний  крестьянин, обещает в себе талант к стихотворению. Надеемся, что публике приятно будет узнать, что к именам Слепушкина, Суханова, Борисова присоединится еще одно имя - самоучки Бубнова;1830;periodical;Х4м;reg;rhymed;periph;Х;4;м;4;no;
29;Б/П;Пал туман на чисто поле;Невский альманах на 1825 г. СПб. 1825. С. 115-118;1825;1820;Песня;;1825;periodical;Х42ж (Х6ж?);reg;unrhymed;periph;Х;42;ж;рз;no;
30;Б/П;Где ты звездочка;Эрато, приношение прекрасному полу. М.: в тип. Н. Степанова, 1829. C. 110-111. (ц.р. 1828 мая 18 дня);1828;1820;;СМ. БУШМАКИН АХ ТЫ ТУЧА;1828;periodical;Пс;reg;unrhymed;core;Пс;1;;Пс;no;
31;Бахтурин, К.А.;Не леса шумят не погодушка;Репертуар русского театра. 1839. Т. 2. Кн. 10. С. 19 (Козьма Рощин, крестьянский разбойник)/ Поэты 1820-1830-х гг. Л., 1972. Т.2. С.353-354.;1836;1830;Хор разбойников (из драмы козьма рощин, рязанский разбойник);;1836;collection;Пс2 + Пс (Ан21мд);unreg;rhymed;core;Пс;21;;Пс;no;
32;Бахтурин, К.А.;Аль опять не видать;Пантеон русского и всех европейских театров. 1840. Ч. 4. С. 37/ Поэты 1820-1830-х гг. Л., 1972. Т. 2. С.359-360.;1840;1830;Песнь ямщика;См. отзыв ОЗ 1841, № 3, с. 13;1840;periodical;Ан1м + Х3ж;reg;rhymed;core;Логаэд;;;Логаэд;no;
33;Бахтурин, К.А.;Уж как пал на сине море;Литературная газета. 1845. № 25.  5 июля, с. 426/ Поэты 1820-1830-х гг. Л., 1972. Т.2. С.361.;1845;1840;Песня цыганки;;1845;periodical;Х4мж;reg;rhymed;periph;Х;4;мж;4;no;
34;Бушмакин, Н.;Голубочек, что воркуешь;Славянин. 1827. Ч. 1. № 9. С. 140.;1827;1820;Песня;;1827;periodical;Х4мж;reg;rhymed;core;Х;4;мж;4;no;
35;Башмаков, И.И.;Что ты белый крепкий лен мой;Ваненко, И. Звездочка. М., 1842. С. 63-64;1842;1840;;Цикл русские песни;1842;collection;Х42жд;reg;unrhymed;core;Х;42;жд;рз;mb;Я посею белый лен
36;Башмаков, И.И.;Скучно мне подруженьки;Ваненко, И. Звездочка. М., 1842. С. 81-82;1842;1840;;Цикл русские песни;1842;collection;Х3д;reg;occ;core;Х;3;д;3;no;
37;Башмаков, И.И.;Ты тоска моя;Ваненко, И. Звездочка. М., 1842. С. 83-84;1842;1840;;Цикл русские песни;1842;collection;Пс;reg;unrhymed;core;Пс;1;;Пс;no;
38;Башмаков, И.И.;Где ты душечка;Ваненко, И. Звездочка. М., 1842. С. 87-90;1842;1840;;Цикл русские песни;1842;collection;Пс;reg;unrhymed;core;Пс;1;;Пс;no;
39;Башмаков, И.И.;Не то было время;Ваненко, И. Звездочка. М., 1842. С. 90-92;1842;1840;;Цикл русские песни;1842;collection;Х3жм;reg;occ;core;Х;3;жм;3;no;
40;Башмаков, И.И.;То не горлица воркует;Ваненко, И. Звездочка. М., 1842. С. 92-94;1842;1840;;Цикл русские песни;1842;collection;Х4жм;reg;rhymed;core;Х;4;жм;4;no;
41;Башмаков, И.И.;Было время времечко;Ваненко, И. Звездочка. М., 1842. С. 94-96;1842;1840;;Цикл русские песни;1842;collection;Х32дж;reg;rhymed;core;Х;32;дж;рз;yes;Ах ты время времечко (Цыганов)
42;Башмаков, И.И.;Он ласкал ее;Ваненко, И. Звездочка. М., 1842. С. 97-98;1842;1840;;Цикл русские песни;1842;collection;Пс;reg;occ;core;Пс;1;;Пс;no;
43;Башмаков, И.И.;Так то ты со мной мой милый;Ваненко, И. Звездочка. М., 1842. С. 99-101;1842;1840;;Цикл русские песни;1842;collection;Х4жм;reg;rhymed;core;Х;4;жм;4;no;
44;Башмаков, И.И.;Ты душа моя девица;Ваненко, И. Звездочка. М., 1842. С. 101-103;1842;1840;;Цикл русские песни;1842;collection;Х4жм;reg;rhymed;core;Х;4;жм;4;no;
45;Башмаков, И.И.;Как разгневалась, разобиделась;Ваненко, И. Звездочка. М., 1842. С. 104-107;1842;1840;;Цикл русские песни;1842;collection;Пс;reg;unrhymed;core;Пс;1;;Пс;no;
46;Башмаков, И.И.;Не о том ли ты девица;Ваненко, И. Звездочка. М., 1842. С. 107-109;1842;1840;;Цикл русские песни;1842;collection;Х42жд;reg;rhymed;core;Х;42;жд;рз;no;
47;Башмаков, И.И.;Так то я частехонько;Ваненко, И. Звездочка. М., 1842. С. 109-111;1842;1840;;Цикл русские песни;1842;collection;Х3д;unreg;unrhymed;core;Х;3;жд;3;no;
48;Башмаков, И.И.;Ах никто того не ведает не знает;Ваненко, И. Звездочка. М., 1842. С. 109-111;1842;1840;;Цикл русские песни;1842;collection;Х6ж;reg;occ;core;Х;6;ж;6;no;
49;Башмаков, И.И. (без подписи публ.???);Высыпайте, снега белые;Литературная газета. 1840. № 96, 30 ноября. С. 2200/ Ваненко, И. Звездочка. М., 1842. С. 85-87;1840;1830;Песня;в сборнике - в цикле русские песни, за основу - вариант сборника;1840;periodical;Ан2д;unreg;unrhymed;core;Ан;2;д;2;no;
50;Берг, Н.;Уж ты слышишь ли;Московский городской листок. 1847. № 20, 24 янв. С. 80;1847;1840;Русская песня;января 19;1847;periodical;Пс;reg;unrhymed;core;Пс;1;;Пс;no;
51;Бернет, Е.;Я сегодня в огороде;СО. 1837. Ч. 185. С. 267-269;1837;1830;Скорбь Елены-молдаванки;;1837;periodical;Х43ж;unreg(сверхсхемные);occ;core;Х;43;ж;рз;no;
52;Бестужев, М.А.;Что ни ветр шумит во сыром бору;Гурилев, Что ни ветр шумит. М., 1834 (ноты) инициалы для Гурилева, страницы;1830;1820;;на голос: уж как пал туман на сине море;1834;music;Пс2;reg;rhymed;periph;Пс;2;;Пс;yes;уж как пал туман на сине море
53;Баратынский;Страшно воет завывает;СО. 1821. Ч. 68. № 10. С. 134-135;1821;1820;Русская песня;;1821;periodical;Х42ж;reg;unrhymed;core;Х;42;ж;рз;no;
54;Бубнов, Г.П.;Ненаглядное красно солнышко;Весенние цветы, подарок для светлого праздника на 1830 г. М., 1830. С. 151-153;1830;1820;Сельская песня;;1830;periodical;Пс;reg;unrhymed;core;Пс;1;;Пс;no;
55;Бушмакин, Н.;Не труби труба;Благонамеренный. 1826. Ч. 34. № 9. С. 173-175;1826;1820;Песня;;1826;periodical;Ан2д;reg;occ;core;Ан;2;д;2;no;
56;Бушмакин, Н.;Ах ты солнце ненаглядное мое;Славянин. 1828. Ч. 5. № 6. С. 214;1827;1820;Песня;;1828;periodical;Х6м;reg (Ан1м + Х4м);unrhymed;core;Х;6;м;6;no;
57;Бушмакин, Н.;Ах ты туча;Календарь муз на 1826 г. Стихи. СПб., 1826. С. 68-69;1826;1820;Песня;;1826;periodical;Ан1жд;reg;unrhymed;core;Ан;1;жд;1;no;
58;Бушмакин, Н.;Опущу я золотое;Невский альманах на 1827 г. СПб., 1826. С. 179;1826;1820;Песня;;1826;periodical;Х4жм;reg;unrhymed;core;Х;4;жм;4;no;
59;Бушмакин, Н.;Ты светись мое кольцо;Памятник отечественных муз на 1828 г. СПб., 1828. С. 169-170;1828;1820;Русская песня;;1828;periodical;Х42443мжммж;reg(специфическая напевная строфа?;occ;core;Х;42443;мжммж;рз;mb;
60;Бушмакин, Н.;Песню выслушай мою;СО. 1832. Т. 27. Ч. 149. С. 226;1832;1830;Песня;;1832;periodical;Х43443мж;reg (нетрадиционная строфика, рефренные штуки;occ;core;Х;43443;мжммж;рз;mb;
61;В.И.;Ах ты сердце бедное;Литературная газета. 1847. № 8, 20 февраля. С. 116;1847;1840;Песня;;1847;periodical;Х32д;reg;rhymed;core;Х;32;д;рз;no;
62;Вельтман, А.Ф.;Что отуманилась зоренька ясная;Муромские леса. Повесть в стихах. Сочинение Александра Вельтмана. М., 1831. С. 22-23.;1831;1830;;;1831;collection;Д43дм;reg;rhymed;core;Д;43;дм;рз;no;
63;Вельтман, А.Ф.;Загрустила зоря, зоря-зоренька;Вельтман, А.Ф. Кощей Бессмертный. Былина старого времени. Ч. 3. М., 1833. С. 144/ Поэты 1820-1830-х гг. Т. 2. Л., 1972. С. 221.;1832;1830;;;1833;collection;Пс2;reg;unrhymed;core;Пс;2;;Пс;no;
64;Вердеревский, А.;Не в лазури солнце ясное;Стихотворения Александра Вердеревского. М., 1838. С. 20-22;1838;1830;Русская песня;;1838;collection;Х4дм;reg;rhymed;core;Х;4;дм;4;no;
65;Виноградов;Не зарей щебечет ласточка;БдЧ. 1845. Т. 73. С. 15;1845;1840;Простонародные мелодии;;1845;periodical;Х4д;reg;unrhymed;core;Х;4;д;4;no;
66;Виноградов;Разлюбила красна девица;БдЧ. 1845. Т. 73. С. 15-16;1845;1840;Простонародные мелодии;;1845;periodical;Х4д;reg;unrhymed;core;Х;4;д;4;no;
67;Владимиров, М.;Эх, кормилицы, лошадки;Литературная газета. 1848. № 41, 14 октября. С. 646;1848;1840;Песня ямщика;В пандан к этим стихотворениям помещаем еще пять песен в том же народном духе одного из наших молодцых и талантливых поэтов. В июньской книжке репертуара и пантеона напечатны две песни Бояну и Измена. Под ними было также подписано имя Кольцова, но автор их объяснил нам, что потченный редактор Репертуара был введен в заблуждение, и что стихотворения эти принадлежат М. Вламирову. Песни эти действительно весьма замечательны, в чем вероятно согласятся наши читатели.;1848;periodical;Х443жжм;reg;rhymed;core;Х;43;жжм;рз;yes;За горами за долами + Сарафанчик (Тимофеев)
68;Владимиров, М.;Что ретивый конь призадумался;Литературная газета. 1848. № 41, 14 октября. С. 646;1848;1840;;;1848;periodical;Пс2;reg;unrhymed;core;Пс;2;;Пс;no;
69;Владимиров, М.;Девушка красавица береги себя;Литературная газета. 1848. № 41, 14 октября. С. 646-647;1848;1840;Девушке;;1848;periodical;Х3дм;unreg (перебои, сверхсхемные);unrhymed;core;Х;3;дм;3;mb;
70;Владимиров, М.;Ах не тучи темные;Литературная газета. 1848. № 41, 14 октября. С. 647;1848;1840;Хоровая военная;;1848;periodical;Х3д;reg;occ;periph;Х;3;д;3;no;
71;Владимиров, М.;Схоронен в могиле хладной;Литературная газета. 1848. № 41, 14 октября. С. 647;1848;1840;Могила;;1848;periodical;Х43жм;reg;rhymed;core;Х;43;жм;рз;no;
72;Владимиров, М.;Веселись молодец;Литературная газета. 1848. № 48, 2 декабря. С. 760;1848;1840;Русские песни;;1848;periodical;Ан2м;unreg(перебои, окк. Пс);rhymed;periph;Ан;2;м;2;no;
73;Владимиров, М.;Ну, дружней, веселей;Литературная газета. 1848. № 48, 2 декабря. С. 760;1848;1840;Русские песни (песня застольная);;1848;periodical;Ан21мд;unreg(почти reg);rhymed;core;Ан;21;мд;рз;no;
74;Владимиров, М.;Ах ты батюшка питер город наш;Литературная газета. 1848. № 48, 2 декабря. С. 760;1848;1840;Русские песни (песня старожила);;1848;periodical;Пс2;reg;occ;periph;Пс;2;;Пс;mb;Ах ты батюшка светел месяц
75;Владимиров, М.;Сват родимый не куражься;Литературная газета. 1848. № 48, 2 декабря. С. 760;1848;1840;Русские песни;;1848;periodical;Х4жм;reg;rhymed;core;Х;4;жм;4;no;
76;Владимиров, М.;Чу! Взмахнул крылами;Литературная газета. 1848. № 51, 23 декабря. С. 760;1848;1840;Песня жнеца;;1848;periodical;Х3ж;unreg (перебои, сверхсхемные);occ;core;Х;3;ж;3;no;
77;Владимиров, М.;Не тоскуй не горюй;Литературная газета. 1848. № 51, 23 декабря. С. 760;1848;1840;;;1848;periodical;Ан21мд;reg;rhymed;core;Ан;1;ммд;1;mb;
78;Владимиров, М.;Ах ты милая русь родимая;Литературная газета. 1848. № 51, 23 декабря. С. 760;1848;1840;;последнее стихотворение г. Владимирова взято из народной картины его: радостный отклик на царское слово, которая готовится в печати;1848;periodical;Пс2;reg;occ;periph;Пс;2;;Пс;no;
79;Волков, П.;Ты не плачь, не горюй;БдЧ. 1839. Т. 37. Стихотв. С. 163-164;1839;1830;Прощание;;1839;periodical;Ан2м;reg;rhymed;periph;Ан;2;м;2;yes;Ободовский (Ты не плачь, не тоскуй)
80;Волконская, З.А.;Уж как пал снежок со темных небес;Северные Цветы на 1832 г. СПб., 1831. С. 86-87;1831;1830;Надгробная славянского гусляра;входило в прозаич. Текст Сказание об Ольге;1831;periodical;Пс2;unreg(перебои к анапест. И амфб. Ритму);unrhymed;core;Пс;2;;Пс;yes;уж как пал туман на сине море
81;Вяземский;Собирайтесь девки красны;Пантеон русской поэзии. 1817. С. 000/ Перепечатано в: Молва. 1832. № 49, 17 июня. С. 193. Подпись: А.Н.;1817;1810;;;1817;periodical;Х4мж;reg;rhymed;core;Х;4;мж;4;no;
82;Кюхельбекер, В.К.;Ах! Не чайка кружася носится;Адо – украли // Литературный кабинет. М., 1842. Отд. 2. С. 66-67 (подп: Г.....ни);1824;1820;Русские песни;;1824;collection;Пс2;reg;unrhymed;core;Пс;2;;Пс;no;
83;Кюхельбекер, В.К.;Что ты Машенька призадумалась;Адо – украли // Литературный кабинет. М., 1842. Отд. 2. С. 67 (подп.: Г.....ни);1824;1820;Русские песни;;1824;collection;Пс2;reg;unrhymed;core;Пс;2;;Пс;no;
84;Глебов, Д.П.;Увянет без солнышка;ВЕ. 1817. № 5. С. 98;1817;1810;Русские песни;;1817;periodical;Аф2д;reg;unrhymed;core;Аф;2;д;2;no;
85;Глебов, Д.П.;Скучно матушка мне сердцем жить одной;ВЕ. 1817. № 5. С. 99;1817;1810;Русские песни;;1817;periodical;Х6м;reg;rhymed;core;Х;6;м;6;yes;Скучно матушка весною жить одной
86;Глинка, Ф.;Кормила я друга отборным кусочком;Лит.прибав. Рус. Инвалид. 1832. № 41. С. 326;1832;1830;Песнь русской девы;;1832;periodical;Аф4ж;reg;rhymed;periph;Аф;4;ж;4;no;
87;Глинка, Ф.;Над озером, Габ озером;Царское село на 1830 г. СПб., 1830. С. 240-242;1828;1820;Олонецкая песня;;1830;periodical;Я34дм;unreg;occ;core;Я;34;дм;рз;no;
88;Годовниченкова Евпраксия;О кинжал мой, кинжал!;БдЧ. 1838. Т. 26. Стихотв. С. 97-98;1838;1830;Обет женщины;;1838;collection;Ан21мд;unreg;unrhymed;core;Ан;21;мд;рз;no;
89;Головин, П.М.?;Рано солнышко играешь;ВЕ. 1821. № 15. С. 185;1821;1820;;на голос: при долинушке стояла;1821;periodical;Х43ж;reg;rhymed;core;Х;43;ж;рз;yes;При долинушке стояла
90;Горчаков, В.;Что грустишь ты, добрый молодец;БдЧ. 1839, т. 35. Лит. Летопись. С. 10-11. / Стих. Вл. Горчакова. М., 1839. С. 41;1838;1830;Русская песня;;1839;periodical;Пс2;unreg;unrhymed;core;Пс;2;;Пс;no;
91;Горчаков, В.;Под тою ли под сосною;Горчаков, В. Стихотворения. М., 1839. С. 19-20;1839;1830;Цветок;рец. Лит. Прибавл. К РИ 1839, № 8, 26 авг. Разгромная;1839;collection;Я3д;unreg, перебои;unrhymed;core;Я;3;д;3;no;
92;Горчаков, В.;Сторона моя, сторонушка;Горчаков, В. Стихотворения. М., 1839. С. 26-27;1839;1830;Русская песня;;1839;collection;Я3д;unreg, перебои, Х4д;unrhymed;core;Я;3;д;3;yes;Сторона ль моя сторонушка
93;Горчаков, В.;Что ты пташечка;Горчаков, В. Стихотворения. М., 1839. С. 28-29;1839;1830;Русская песня;;1839;collection;Пс;unreg, Ан1дж;unrhymed;core;Пс;1;;Пс;no;
94;Грамматин, Н.Ф.;Лето красное проходи скорей;ВЕ. 1807. Ч. 36. № 24. С. 280;1807;1800;Элегия сельской девушки;;1807;periodical;Пс2;reg;unrhymed;core;Пс;2;;Пс;no;
95;Грамматин, Н.Ф.;Ты не плачь не плачь красна девица;Досуги Грамматина. Спб., 1811. С. 110-111.;1811;1810;;;1811;collection;Пс2;reg;unrhymed;core;Пс;1;;Пс;no;
96;Грамматин, Н.Ф.;Долго ль сердце нам с тобою тосковать;ВЕ. 1813. № 1-2. С. 77-79.;1813;1810;Песня;Гр.;1813;periodical;Х6м;reg;rhymed;core;Х;6;м;6;no;
97;Грамматин, Н.Ф.;Проходи ты лето красное скорей;ВЕ. 1807. Ч. 36. № 23. С. 193-194;1807;1800;Песня;на голос: я не знала ни о чем в свете тужить;1807;periodical;Х6м;reg;rhymed;core;Х;6;м;6;yes;Я не знала ни о чем в свете тужить
98;Грамматин, Н.Ф.;Не шуми ты погодушка;ВЕ. 1815. № 15. С. 164-166.;1815;1810;;Г. Кострома;1815;periodical;Ан2д;reg;rhymed;core;Ан;2;д;2;no;
99;Гребенка, Е.П.;Не калина ль в темном лесе;ОЗ. 1839. Т. 5. С. 164-165/ Поэты 1840-1850-х годов. Л., 1972. С. 185;1839;1830;Украинская мелодия;;1839;periodical;Х4жм + Х3м;reg;rhymed;periph;Х;4;жм;4;no;
100;Гребенка, Е.П.;Бело личко черны очи;БдЧ. 1844. Т. 62. № 2. С. 135;1844;1840;Песня;;1844;periodical;Х4жм;reg;unrhymed;core;Х;4;жм;4;no;
101;Гребенка, Е.П.;Светла речка под окном твоим шумит;Метеор на 1845 г. СПб., 1845. С. 111/ Поэты 1840-1850-х годов. Л., 1972. C. 195;1840;1830;Песня (в СС);;1845;periodical;Х6м;reg;rhymed;core;Х;6;м;6;no;
102;Гребенка, Е.П.;Молода еще девица я была;ОЗ. 1841. № 11. Т. 19. Отд. 3. С. 65/ Поэты 1840-1850-х годов. Л., 1972. C. 188;1841;1840;Песня;;1841;periodical;Х6м;reg;rhymed;core;Х;6;м;6;no;
103;Гребенка, Е.П.;Зеленая трава моя;Пантеон, 1841, № 1, отд. 2., с. 38/ Поэты 1840-1850-х годов. Л., 1972. C. 193.;1841;1840;Песня (в СС);;1841;periodical;Я3д + Х3ж + Ан2м (рефр);reg;rhymed;core;Логаэд;;;Логаэд;no;
104;Греков, Н.;Много в небе горит;БдЧ. 1840, т. 43.Стихотворения. С. 11-12;1840;1830;Русская песня;;1840;periodical;Ан21мд;reg;unrhymed;core;Ан;21;мд;рз;no;
105;Губер, Э.;На душе свободной;БдЧ. 1843. Т. 58. Ч. 1 Отд. I. С. 10;1843;1840;Песня;;1843;periodical;Х3ж;reg;rhymed;core;Х;3;ж;3;no;
106;Д. Чернецкий;Ах, ты девица, звезда ясная;БдЧ. 1841. Т. 46. Стих. С. 7-8.;1841;1840;Русская песня;;1841;periodical;Пс2 + Пс;unreg (сбои, анапест.);unrhymed;core;Пс;21;;Пс;no;
107;Давыдов, Д.В.;Я люблю тебя, без ума люблю;Сочинения Д.В. Давыдова. Ч. 1. Стихотворения. С. 42. Стихотворения какие?. Спб., 1840. страницы?;1834;1830;;на голос известной русской песни;1840;collection;Пс2;reg;rhymed;periph;Пс;2;;Пс;yes;Я люблю тебя душа-девица
108;Даргомыжская,  М.;Тошно грустно мне на свете жить одной;Славянин. 1827. Ч. 2. № 21. С. 295;1827;1820;Песня, УД;;1827;periodical;Х6м;reg;rhymed;core;Х;6;м;6;yes;Скучно матушка весною жить одной
109;Д-въ., А. (Д-въ);Не дари меня черным соболем;СО. 1840. Т. 1. Стихотворения. С. 554-555;1840;1830;Русская песня;;1840;periodical;Пс;unreg(перебои + стихи из двух пятисложников);unrhymed;core;Пс;1;;Пс;no;
110;Дельвиг;Соловей мой соловей;Северные цветы на 1826 г. СПб., 1826. С. 91/ Дельвиг, А.А. Сочинения. Л., 1986. С. 31;1825;1820;Русская песня;;1823;periodical;Х4м;reg;occ;core;Х;4;м;4;no;
111;Дельвиг;Пела пела пташечка;Северные цветы на 1825 год. Спб., 1824. С. 296/ Дельвиг, А.А. Сочинения. Л., 1986. С. 31;1824;1820;Русская песня;;1824;periodical;Х32дж;reg;unrhymed;core;Х;32;дж;рз;yes;Цвели цвели цветики
112;Дельвиг;Что красотка молодая;Полярная звезда на 1824 год. Спб., 1823. С. 22/ Дельвиг, А.А. Сочинения. Л., 1986. С. 50-51;1823;1820;Русская песня;;1823;periodical;Х43ж;reg;unrhymed;core;Х;43;ж;рз;no;
113;Дельвиг;Ах ты ночь ли;Полярная звезда на 1823 год. Спб., 1822. С. 109/ Дельвиг, А.А. Сочинения. Л., 1986. С. 51-52;1821;1820;Русская песня;;1822;periodical;Х3д;reg;unrhymed;core;Х;3;д;3;no;
114;Дельвиг;Голова ль моя головушка;Полярная звезда на 1824 год. Спб., 1823. С. 91/ Дельвиг, А.А. Сочинения. Л., 1986. С. 56-57;1823;1820;Русская песня;;1823;periodical;Х4д;reg;unrhymed;core;Х;4;д;рз;yes;Голова ль моя головушка
115;Дельвиг;Сиротинушка девушка;Подснежник. СПб., 1829. С. 153/ Дельвиг, А.А. Сочинения. Л., 1986. С. 64;1828;1820;Русская песня;;1829;periodical;Ан2д;reg;unrhymed;core;Ан;2;д;2;no;
116;Дельвиг;Скучно девушки весною жить одной;Северные цветы на 1825 год. СПб., 1824. С. 295/ Дельвиг, А.А. Сочинения. Л., 1986. С. 64-65;1824;1820;Русская песня;;1824;periodical;Х6м;reg;rhymed;core;Х;6;м;6;yes;Скучно матушка весною жить одной
